analysis_label,study,cohort,partition,model,seed,runtime_seconds,status,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C1,17,11.693685300000652,OK,1215.0,526.0,1214.9945264553016,0.14049139705207545,0.7249833562348553,0.755975052410384,0.777796475551151,-0.06188990175539494,1.437243504983274,0.21696101690012276
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C1,17,4.627890300000217,OK,303.0,119.0,302.74654266925387,0.14839226991926363,0.7060068001511145,0.7228099389614919,0.7462204636062708,-0.04632943339465327,1.118312477650503,0.21178592136749813
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C2,17,13.71354539999993,OK,1215.0,526.0,1214.9945264553016,0.13824503291098433,0.7319289059050061,0.7620343696018851,0.7853295800021605,-0.08180195207609832,0.8889571442945814,0.21833278611218457
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C2,17,2.4923446000002514,OK,303.0,119.0,302.74654266925387,0.14538381082879126,0.7321496033245183,0.7471491482011489,0.7698659303385826,-0.042451806663641206,0.7750023487496241,0.2103993183814727
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C3,17,3.4094206999998278,OK,1215.0,526.0,1214.9945264553016,0.1390859786965464,0.7309964067399963,0.7533637347811353,0.7801035071024125,-0.002272132077568822,1.1984051240261457,0.2080017865533105
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C3,17,1.2501694000002317,OK,303.0,119.0,302.74654266925387,0.14432083254450778,0.7369474877219494,0.7564371681184395,0.7810986653785793,-0.03576115475428932,0.5948912501149576,0.2097390927559126
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C4,17,2.769581599999583,OK,1215.0,526.0,1214.9945264553016,0.1405147277273572,0.7305234324038977,0.7491938429345106,0.7735852998722891,-0.048033195633738354,1.1911066522584577,0.21473365909861417
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C4,17,0.5350381999996898,OK,303.0,119.0,302.74654266925387,0.1488895621263134,0.7253494522100491,0.7416278157887183,0.7639521612377953,-0.05133318453945147,0.49415867450182194,0.21222053740077224
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C1,29,10.497681799999555,OK,1215.0,526.0,1214.9945264553016,0.13829030682012122,0.7266342832421382,0.7622261303467933,0.7852538795192229,-0.06403222890856713,1.5185849988888664,0.21730716054527474
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C1,29,3.1206806000000142,OK,303.0,119.0,302.74654266925387,0.1487666692364127,0.7005666792595391,0.7135840916918377,0.73364615209577,-0.04873585239795608,1.1017783962665224,0.21214309378404508
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C2,29,17.176184200000534,OK,1215.0,526.0,1214.9945264553016,0.13491285205083664,0.7339956468428402,0.7693728228692952,0.7945383817385916,-0.08071966634948195,0.9465305441320038,0.21839776343296824
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C2,29,3.732466299999942,OK,303.0,119.0,302.74654266925387,0.14388622037401727,0.7365697015489233,0.7510665962167442,0.7740968780788702,-0.047850343757234425,0.757414089301608,0.2111110147169088
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C3,29,5.225461400000313,OK,1215.0,526.0,1214.9945264553016,0.13835069914613968,0.7342018726197175,0.7550194130570619,0.7820208796309902,-4.8624203059199244e-05,1.2635046514499306,0.20770131858156335
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C3,29,0.7727267000000211,OK,303.0,119.0,302.74654266925387,0.1441421051719,0.7369474877219494,0.7565566170526896,0.780964835676038,-0.035620916815755715,0.593953574314972,0.20968659782844026
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C4,29,3.1227161999995587,OK,1215.0,526.0,1214.9945264553016,0.13902959255799477,0.7325363753129812,0.751019584013656,0.7756174598712497,-0.03528699204124953,1.2944056652933604,0.21290924564285754
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C4,29,0.6264287000003605,OK,303.0,119.0,302.74654266925387,0.1488895621263134,0.7253494522100491,0.7416278157887183,0.7639521612377953,-0.05133318453945147,0.49415867450182194,0.21222053740077224
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C1,43,11.582400700000107,OK,1215.0,526.0,1214.9945264553016,0.14170615356347166,0.7152772952144412,0.7479713494248755,0.770164779516218,-0.0815258159771527,1.310748710792697,0.21986858671306256
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C1,43,3.5256795000004786,OK,303.0,119.0,302.74654266925387,0.14846128018928917,0.7013978088401964,0.7171064828171929,0.7395682005677533,-0.04590236069428348,1.1039256441290015,0.21168107678301973
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C2,43,13.117435899999691,OK,1215.0,526.0,1214.9945264553016,0.138989444988253,0.7285373885091894,0.7569863792480529,0.7822015546209784,-0.12790021145406455,0.837009076168735,0.22419676558754623
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C2,43,3.184681400000045,OK,303.0,119.0,302.74654266925387,0.14679341218537345,0.7343785417453721,0.7481045358331916,0.7721523234798009,-0.016619221420628685,0.7567836723632391,0.20710536770391763
