study,partition,model,seeds,runtime_seconds_mean,ipcw_brier_mean,harrell_c_mean,uno_c_mean,auc_horizon_mean,calibration_in_the_large_mean,calibration_slope_mean,mean_predicted_risk_mean,runtime_seconds_sd,ipcw_brier_sd,harrell_c_sd,uno_c_sd,auc_horizon_sd,calibration_in_the_large_sd,calibration_slope_sd,mean_predicted_risk_sd
HANCOCK,calibration,C1,5,0.42373531999983244,0.13700812642034663,0.7152035861038476,0.7468077663965376,0.7736589999283778,0.38168460704345164,3.6750894614110337,0.13696317953344342,0.12209006508495289,0.0014908447674285845,0.01203395718467393,0.013678621609737892,0.014610398327876934,0.004550795759091013,0.3095960591403597,0.0008857193223886872
HANCOCK,calibration,C2,5,0.17145979999986594,0.12934378396166812,0.6522973477773627,0.6995129236481503,0.7215971894809557,0.4831634605444549,1.1981437497566472,0.1340830283077212,0.0531794271901199,0.0015451624778950585,0.005435156551771886,0.002969713998211679,0.005637993694366038,0.019454980308883766,0.03489538086386064,0.002058494317863134
HANCOCK,calibration,C3,5,0.1548508400001083,0.1260102037992305,0.6976466193500187,0.7646025262447526,0.7963545649416498,0.4127511026561124,2.412322363416453,0.14118974898364003,0.07206766985043957,0.0011087123832545609,0.010656398962221477,0.011821896922139136,0.014708237279112113,0.008579383884901587,0.1731035802954602,0.001154788595746476
HANCOCK,calibration,C4,5,0.08589341999977478,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188,0.03172343856979998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANCOCK,development_oof,C1,5,1.5625659199999062,0.1063537442348295,0.6731204172260663,0.7317873009458745,0.7593018092670649,-0.010419578171385198,2.0436240267408925,0.13667845174694268,0.4610196560998978,0.0010396359373266418,0.01650009614888162,0.0205241074168149,0.02072530503736021,0.011742940200691727,0.13284586986734193,0.0009084562990048589
HANCOCK,development_oof,C2,5,0.8128000200002135,0.10278758265200265,0.6777290096044614,0.741031872077476,0.7678488644738017,0.07494729224555305,0.9680697250541694,0.13123461642912518,0.22910122514072298,0.0021796384929773467,0.018994879102697797,0.023976630087198327,0.026224900633163975,0.02665840466641572,0.09386371854820864,0.002806217552567853
HANCOCK,development_oof,C3,5,0.6908830200000011,0.10551611524432439,0.6811163895486936,0.7282433678404243,0.7499207641545569,0.007539754786270466,1.162530528226083,0.13565400986665538,0.2842983697928025,0.0012965878665190794,0.005829282245770445,0.007644802761061106,0.008402919907779463,0.00656884276649811,0.1683315590281749,0.0009190798654125567
HANCOCK,development_oof,C4,5,0.4363945800001602,0.10517864786184794,0.6789269854383971,0.7266102015374006,0.7472779354950057,-0.014026737645855053,1.2845306276628,0.13787306094834664,0.13334726853985257,0.0009608312601639646,0.009896253971920848,0.011364461596906439,0.012343629954960397,0.010847412046905255,0.08449945885184046,0.0012593802729795767
RADCURE,calibration,C1,5,3.4493413600002896,0.148803874523253,0.7011484699659992,0.7159966606953756,0.7379127218796009,-0.045290367024714985,1.0939792634680505,0.21161189745374814,0.6961199997108175,0.0004970552572411589,0.003084179310176117,0.004144851357822593,0.005157876257721887,0.00568708622024165,0.026026484911996516,0.0008717928563884181
RADCURE,calibration,C2,5,3.0726277399999162,0.1461152603793474,0.7343709860219116,0.7486110982165453,0.7715319349992976,-0.03667869878138449,0.7558610109620152,0.20967582241029606,0.5320686296792991,0.0014659270210248235,0.0021819236576041314,0.002278245643377427,0.0026837099314910755,0.011927251817494126,0.013395215147478372,0.001524807781097858
RADCURE,calibration,C3,5,0.8560782200003814,0.14404210475601903,0.7372950510011334,0.7568895285118492,0.781273976784202,-0.02786515124086093,0.6062086342801251,0.20863867113363282,0.22121582631872083,0.00024957901933550736,0.0004789101009533997,0.0005955039718453743,0.00043469736993985664,0.009423548843519822,0.012762714562738258,0.0013001502223052817
RADCURE,calibration,C4,5,0.5666565399998944,0.1488895621263134,0.7253494522100491,0.7416278157887183,0.7639521612377953,-0.051333184539451474,0.49415867450182194,0.21222053740077224,0.04067440493542986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADCURE,development_oof,C1,5,11.159166480000021,0.13986151071428427,0.724048167168408,0.7575423481995784,0.7800484523839429,-0.06821923620403222,1.439771896993456,0.21791476204746982,0.4920862345977429,0.001388242267506734,0.004970739891968639,0.005861153074362954,0.006219048712621229,0.007724643212740298,0.08097316058913699,0.0011385710361181663
RADCURE,development_oof,C2,5,13.928073100000073,0.13712190271300218,0.7321364766326021,0.7631102516680516,0.7879718064182222,-0.09928542660444283,0.8853992265392454,0.2205712180038304,2.0313439380049614,0.0015884204769451011,0.002342172992343472,0.004689179965932848,0.005157206528453171,0.019353378104470815,0.03995077574762845,0.0024106828278212936
RADCURE,development_oof,C3,5,4.128986499999883,0.1386502134284709,0.7321423047523834,0.7531001885049504,0.7802163471415003,-0.01218788769682067,1.2046008944283073,0.20940502299878522,0.7222428781906779,0.00035163578112431735,0.0018705317116656094,0.0018410026867250154,0.0021309093515542925,0.010974570222665155,0.0350346589266835,0.001540091143360688
RADCURE,development_oof,C4,5,2.8723940399997447,0.14021703981803244,0.7307839045264316,0.7488935240284574,0.7734571952516348,-0.0475449939453782,1.1929997599125421,0.21465896617809482,0.1779921226013609,0.0008191611190084356,0.002665412451123206,0.002598780854796749,0.0026362606283262496,0.007829908584957076,0.06378475193596798,0.0011166948485966971
TCGA-HNSC,calibration,C1,5,4.974518819999867,0.23123919649506983,0.593441466854725,0.5880433015305715,0.590584798951464,-0.036006298324245053,0.7852509496874804,0.35846289511406526,0.6907463169253127,0.0023984294312339974,0.007656576428282258,0.009857497553734464,0.013278535522587712,0.004029185318122383,0.15335589749052297,0.0014622004889595385
TCGA-HNSC,calibration,C2,5,6.1260562999998,0.25138035422221006,0.5582510578279267,0.5541059451403827,0.5676582121145853,-0.1264899576688221,0.251470158849167,0.38670740900770134,1.1234878395046424,0.006702081569843109,0.016737617729028337,0.018340831456306748,0.023246982840897004,0.023152573477770003,0.08581705751889435,0.005704852992338111
