seed,outer_fold,ipcw_brier_raw,ipcw_brier_calibrated,delta_ipcw_brier,citl_raw,citl_calibrated,calibration_slope_raw,calibration_slope_calibrated,n_evaluable,events_evaluable,global_alpha,global_beta
17,0,0.1367038757967255,0.14464717339722766,0.007943297600502164,0.15681818185064597,0.17759579134342934,1.1786832967737033,0.7074455168411942,96,18,-0.05338750640573416,0.9787914697852521
17,1,0.11663494349976604,0.13378321901013573,0.017148275510369695,-0.1841195718701297,-0.4409396691816518,0.717666554250058,0.07817098725257168,95,14,0.21132826943940858,1.0950916053854127
17,2,0.11454584388648568,0.1335443005643656,0.018998456677879902,-0.1443776966255575,-0.29096903874060803,1.5505068334020167,-0.011389220432124413,105,16,-0.033227989848496856,0.944061116612848
17,3,0.11736647687204238,0.11766571315374172,0.0002992362816993388,-0.08634133955648575,-0.1404369259856549,2.36224069563968,2.90311692416664,99,16,-0.17913290289143513,0.8621921697614641
17,4,0.14606029689061706,0.15329090094758135,0.007230604056964296,0.34210755585406155,0.517940311676679,0.5379175787344588,0.25497798810415734,97,19,0.46117370052070206,1.3342911026340938
29,0,0.1328543229943847,0.13506693939626993,0.00221261640188522,0.11962010936255957,0.15740790027075055,0.8924871226216082,0.7559359677835062,99,18,-0.748513842274439,0.5425909566985182
29,1,0.15477786124894807,0.16236490217575866,0.00758704092681059,-0.10152230352259757,-0.10281046328986025,0.23498066694136316,-0.006732581922543114,95,16,-0.20595579748589074,0.8518953129775806
29,2,0.13434832412190317,0.1385127075214784,0.004164383399575228,0.277854980440106,0.24268597611693926,2.089735580171066,2.4385412658504255,106,20,-0.8770940156025377,0.48015437845038483
29,3,0.13091801219732,0.13338759520082138,0.002469583003501391,-0.12289516238893762,-0.0953863371088434,0.4126275028337805,0.38165058281246794,99,16,-0.5136253998970518,0.6584627179426565
29,4,0.10797975345654266,0.11202952981129405,0.004049776354751386,-0.2091373226850802,-0.29058509303560676,1.351015180305225,1.1954058158020189,93,13,-0.7065528917762022,0.5267783551651244
43,0,0.1268474565242424,0.133344175876264,0.0064967193520215905,0.21400200037205727,0.2321782060709528,1.8855948079634588,0.6814088804465647,98,18,-0.2884397630822664,0.8177037455519056
43,1,0.12007731169487006,0.12756457278583544,0.007487261090965383,0.0187735695620568,-0.04828326772903566,0.8430658066018756,0.5703807408925146,95,16,0.030148469926608096,0.9923686739157797
43,2,0.13586334823545354,0.13454568619537538,-0.0013176620400781602,0.1619421749952705,0.1519449025108851,1.064629443592657,0.7076584773144164,102,19,-0.09786976488502828,0.9355797896918782
43,3,0.08354755796747913,0.09189940158756411,0.008351843620084981,-0.48007631097718256,-0.6158210039966077,1.6262916504884242,1.3204885985863941,100,12,-0.0980787970979051,0.8520666862208109
43,4,0.1520642973910393,0.16836239722650018,0.016298099835460877,0.1989039092234626,0.26303571986950974,0.1437943920143698,0.0016904334182383809,97,18,0.35887402987228495,1.2333801295867595
71,0,0.12355195368744488,0.13013369881216383,0.0065817451247189435,0.16019264653014692,0.14879556391824836,1.5616491834840525,1.2472153770033414,98,18,-0.3800571072113313,0.7713752903402428
71,1,0.16032342539913733,0.1612853221598038,0.0009618967606664641,0.18175095495204432,0.2640263958648455,0.3762106528993098,0.23526410751155943,95,20,0.12106200452019389,1.0877739087402
71,2,0.09689654580993401,0.14990371592688526,0.05300717011695125,-0.32072501716869956,-0.7894240997056264,1.5635500014076644,0.12489393207756448,104,14,-0.22900985551602696,0.7933389648503528
71,3,0.1373101419047459,0.13531905465181024,-0.001991087252935675,0.19995450336429504,0.20008222743289023,0.9400514667325705,1.054221102394834,94,17,-0.18998382677264478,0.8903205086906433
71,4,0.11136319665780503,0.10977427984411502,-0.001588916813690014,-0.14500338749235625,-0.17479247991251276,0.6858145316066112,0.7812196074445837,101,14,-0.020938432222481717,0.9537170409376441
101,0,0.12214142238609951,0.1273838160511786,0.005242393665079087,0.10108449201595608,0.01599883553619559,1.27256834532461,0.9614025414629257,101,17,-0.45764350439061774,0.7327382913447238
101,1,0.10952336822850231,0.12226884847092524,0.012745480242422932,-0.20663067864550394,-0.3224411555064904,1.4977433788717944,0.18426774185004943,96,15,-0.4634549263878919,0.6946910738673601
101,2,0.11873179561168225,0.1274624509045109,0.00873065529282864,-0.31678604741936506,-0.38309595125085555,0.6933785082609881,0.4805373030074062,99,16,-0.06483268871498772,0.9287989018666616
101,3,0.1488623671702929,0.14847873281504925,-0.0003836343552436339,0.34765153740215354,0.429617392198158,1.7547924306492764,2.1967784432653943,100,20,-0.4311143310622816,0.7886821152499336
101,4,0.1336466101265669,0.14445022029323187,0.010803610166664979,-0.06465723485352311,-0.12779739203802293,0.2018797058545921,0.1223345324878787,96,15,-0.0731026482504831,0.9567460771832647
