seed,outer_fold,base,alpha,beta
17,0,global_full,-0.05338750640573416,0.9787914697852521
17,0,global_intercept,-0.019317056975447548,1.0
17,0,global_slope,0.0,1.008703075259996
17,0,bounded_global_full,-0.05334183165403013,0.9787914697852521
17,1,global_full,0.21132826943940858,1.0950916053854127
17,1,global_intercept,0.05828634104834201,1.0
17,1,global_slope,0.0,0.9773078463373679
17,1,bounded_global_full,0.2112526869361634,1.0950916053854127
17,2,global_full,-0.033227989848496856,0.944061116612848
17,2,global_intercept,0.05710903771572235,1.0
17,2,global_slope,0.0,0.9622767252971118
17,2,bounded_global_full,-0.03323558443349223,0.944061116612848
17,3,global_full,-0.17913290289143513,0.8621921697614641
17,3,global_intercept,0.0452115103483911,1.0
17,3,global_slope,0.0,0.9598188591093213
17,3,bounded_global_full,-0.17908311095679005,0.8621921697614641
17,4,global_full,0.46117370052070206,1.3342911026340938
17,4,global_intercept,-0.06031271870495127,1.0
17,4,global_slope,0.0,1.0651896674922237
17,4,bounded_global_full,0.33071450320391477,1.25
29,0,global_full,-0.748513842274439,0.5425909566985182
29,0,global_intercept,-0.018069007599335857,1.0
29,0,global_slope,0.0,0.9109645490241093
29,0,bounded_global_full,-0.41087845903542347,0.75
29,1,global_full,-0.20595579748589074,0.8518953129775806
29,1,global_intercept,0.03266544032970209,1.0
29,1,global_slope,0.0,0.9610505240419085
29,1,bounded_global_full,-0.20584355255264747,0.8518953129775806
29,2,global_full,-0.8770940156025377,0.48015437845038483
29,2,global_intercept,-0.06413090195777287,1.0
29,2,global_slope,0.0,0.9088765455423541
29,2,bounded_global_full,-0.4455665797460801,0.75
29,3,global_full,-0.5136253998970518,0.6584627179426565
29,3,global_intercept,0.041413439369933316,1.0
29,3,global_slope,0.0,0.9186614410815642
29,3,bounded_global_full,-0.3625201227320325,0.75
29,4,global_full,-0.7065528917762022,0.5267783551651244
29,4,global_intercept,0.05574878892433863,1.0
29,4,global_slope,0.0,0.8705735702853982
29,4,bounded_global_full,-0.34026783889275597,0.75
43,0,global_full,-0.2884397630822664,0.8177037455519056
43,0,global_intercept,-0.0017335679361579449,1.0
43,0,global_slope,0.0,0.9674916935489944
43,0,bounded_global_full,-0.28840087611393156,0.8177037455519056
43,1,global_full,0.030148469926608096,0.9923686739157797
43,1,global_intercept,0.04224762388048407,1.0
43,1,global_slope,0.0,0.9763023977107417
43,1,bounded_global_full,0.0301466875107997,0.9923686739157797
43,2,global_full,-0.09786976488502828,0.9355797896918782
43,2,global_intercept,0.00361708651944614,1.0
43,2,global_slope,0.0,0.986650659598169
43,2,bounded_global_full,-0.09778940817627378,0.9355797896918782
43,3,global_full,-0.0980787970979051,0.8520666862208109
43,3,global_intercept,0.14302866683638438,1.0
43,3,global_slope,0.0,0.9025531540156038
43,3,bounded_global_full,-0.09782106929669145,0.8520666862208109
43,4,global_full,0.35887402987228495,1.2333801295867595
43,4,global_intercept,-0.0013286044601042639,1.0
43,4,global_slope,0.0,1.0389834137482457
43,4,bounded_global_full,0.35867959042493053,1.2333801295867595
71,0,global_full,-0.3800571072113313,0.7713752903402428
71,0,global_intercept,-0.020855853122901436,1.0
71,0,global_slope,0.0,0.9694962806249231
71,0,bounded_global_full,-0.3808641088272812,0.7713752903402428
71,1,global_full,0.12106200452019389,1.0877739087402
71,1,global_intercept,-0.018037038616743533,1.0
71,1,global_slope,0.0,1.0232748981686928
71,1,bounded_global_full,0.12106594149626883,1.0877739087402
71,2,global_full,-0.22900985551602696,0.7933389648503528
71,2,global_intercept,0.10630283538176429,1.0
71,2,global_slope,0.0,0.9104466314273907
71,2,bounded_global_full,-0.22903510265842505,0.7933389648503528
71,3,global_full,-0.18998382677264478,0.8903205086906433
71,3,global_intercept,-0.01902726883737455,1.0
71,3,global_slope,0.0,0.9900172085996071
71,3,bounded_global_full,-0.1898744594784878,0.8903205086906433
71,4,global_full,-0.020938432222481717,0.9537170409376441
71,4,global_intercept,0.05152691801291849,1.0
71,4,global_slope,0.0,0.9649920122528248
71,4,bounded_global_full,-0.020979364790792328,0.9537170409376441
101,0,global_full,-0.45764350439061774,0.7327382913447238
101,0,global_intercept,-0.044276737617831866,1.0
101,0,global_slope,0.0,0.9767460787549219
101,0,bounded_global_full,-0.4305350697322422,0.75
101,1,global_full,-0.4634549263878919,0.6946910738673601
101,1,global_intercept,0.027309612231259446,1.0
101,1,global_slope,0.0,0.9364304461035962
101,1,bounded_global_full,-0.3734420619884653,0.75
101,2,global_full,-0.06483268871498772,0.9287989018666616
101,2,global_intercept,0.050869421161141154,1.0
101,2,global_slope,0.0,0.9638855250974808
101,2,bounded_global_full,-0.06484978133462894,0.9287989018666616
101,3,global_full,-0.4311143310622816,0.7886821152499336
101,3,global_intercept,-0.11236841526901815,1.0
101,3,global_slope,0.0,1.018423818733495
101,3,bounded_global_full,-0.4310506240916331,0.7886821152499336
101,4,global_full,-0.0731026482504831,0.9567460771832647
101,4,global_intercept,-0.005563748763461169,1.0
101,4,global_slope,0.0,0.9961111880275199
101,4,bounded_global_full,-0.07292359607572689,0.9567460771832647
