candidate,family,gamma,seed,outer_fold,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable,beta_effective_min
identity,identity,0.0,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184869756,-1.948413652641534e-12,1.1786832967737033,1.178683296773703,-2.220446049250313e-16,96,18,1.0
global_intercept_shrinkage_g0.10,global_intercept_shrinkage,0.1,17,0,0.1367038757967255,0.1367179822850077,1.4106488282206175e-05,0.15681818185064597,0.15874988767587841,0.0019317058252324437,1.1786832967737033,1.1787070051307103,2.3708357006935188e-05,96,18,1.0
global_intercept_shrinkage_g0.25,global_intercept_shrinkage,0.25,17,0,0.1367038757967255,0.13673934270436983,3.546690764433258e-05,0.15681818185064597,0.16164744641769174,0.004829264567045771,1.1786832967737033,1.1787428214490911,5.9524675387834236e-05,96,18,1.0
global_intercept_shrinkage_g0.50,global_intercept_shrinkage,0.5,17,0,0.1367038757967255,0.13677547505350746,7.159925678196233e-05,0.15681818185064597,0.16647671099049083,0.009658529139844857,1.1786832967737033,1.1787995459218188,0.00011624914811547704,96,18,1.0
global_intercept_shrinkage_g0.75,global_intercept_shrinkage,0.75,17,0,0.1367038757967255,0.13681226627192167,0.00010839047519617395,0.15681818185064597,0.17130597557030416,0.014487793719658193,1.1786832967737033,1.1788449733354491,0.00016167656174581602,96,18,1.0
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,17,0,0.1367038757967255,0.13684970981568967,0.00014583401896417492,0.15681818185064597,0.17613524015354973,0.019317058302903756,1.1786832967737033,1.1788683066017145,0.00018500982801117338,96,18,1.0
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,17,0,0.1367038757967255,0.13671559887601728,1.172307929178662e-05,0.15681818185064597,0.1582245008656412,0.0014063190149952165,1.1786832967737033,1.177676868181483,-0.001006428592220221,96,18,1.0008703075259997
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,17,0,0.1367038757967255,0.13673328783785493,2.9412041129439626e-05,0.15681818185064597,0.16033372120801687,0.003515539357370895,1.1786832967737033,1.17617044649222,-0.002512850281483292,96,18,1.002175768814999
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,17,0,0.1367038757967255,0.1367630459005178,5.917010379230536e-05,0.15681818185064597,0.1638484004570702,0.007030218606424221,1.1786832967737033,1.1736664875209428,-0.00501680925276049,96,18,1.004351537629998
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,17,0,0.1367038757967255,0.13679314664543873,8.927084871324098e-05,0.15681818185064597,0.16736222053007782,0.01054403867943185,1.1786832967737033,1.171167449264533,-0.007515847509170337,96,18,1.0065273064449969
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,17,0,0.1367038757967255,0.1368235867540136,0.00011971095728810499,0.15681818185064597,0.1708751823637054,0.014057000513059442,1.1786832967737033,1.16866866399642,-0.010014632777283206,96,18,1.008703075259996
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,17,0,0.1367038757967255,0.1367143197707666,1.0443974041096649e-05,0.15681818185064597,0.1587292959988477,0.0019111141482017202,1.1786832967737033,1.1812088152185058,0.0025255184448025325,96,18,0.9978791469785252
