spec,threshold,fuse_rate,fallback_rate,ipcw_brier,delta_vs_v0,delta_vs_v1r,coverage,ranking_vs_v1r
V0_reference,,0.0,1.0,0.12392674141558381,0.0,0.0011621536746283662,1.0,0.8673450160165819
raw_V1R_reference,,1.0,0.0,0.12276458774095544,-0.0011621536746283662,0.0,1.0,1.0
patient_aggregated_core,0.4,0.660655737704918,0.33934426229508197,0.12354499160311216,-0.0003817498124716462,0.00078040386215672,1.0,0.9451075399068616
patient_aggregated_core,0.5,0.5409836065573771,0.45901639344262296,0.12351079874589879,-0.00041594266968501825,0.0007462110049433479,1.0,0.9386470699076691
patient_aggregated_core,0.6,0.40327868852459015,0.5967213114754099,0.12358540969707386,-0.00034133171850994626,0.0008208219561184199,1.0,0.9283856900589518
patient_aggregated_plus_prediction_instability,0.4,0.6704918032786885,0.3295081967213115,0.12364806338190444,-0.0002786780336793693,0.0008834756409489969,1.0,0.9455705402568036
patient_aggregated_plus_prediction_instability,0.5,0.5475409836065573,0.4524590163934426,0.1235079162626416,-0.0004188251529422121,0.000743328521686154,1.0,0.9380979299577378
patient_aggregated_plus_prediction_instability,0.6,0.4262295081967213,0.5737704918032787,0.12342115811960623,-0.0005055832959775797,0.0006565703786507865,1.0,0.9291286441088589
