replicate,threshold,delta_brier_router_minus_v0,delta_brier_router_minus_v1r
1,0.4,0.0014402551038253664,-0.0009603087564411111
1,0.5,0.0014395051712603468,-0.0009610586890061307
1,0.6,0.0014381627569612365,-0.000962401103305241
2,0.4,-0.00046690305355784334,0.001725763850624687
2,0.5,-0.000469043040294867,0.0017236238638876633
2,0.6,-0.00046451087670890123,0.001728156027473629
3,0.4,0.0004303919914032672,0.0015067869633288156
3,0.5,0.00042818956269452535,0.0015045845346200737
3,0.6,0.00042850603819663546,0.0015049010101221838
4,0.4,0.0008210145229635146,0.0007341810136236304
4,0.5,0.0008199870031194711,0.0007331534937795869
4,0.6,0.000820341692651716,0.0007335081833118318
5,0.4,-0.001525575803264817,0.0022441105903096142
5,0.5,-0.0015246642426638424,0.002245022150910589
5,0.6,-0.0015174827569312405,0.002252203636643191
6,0.4,-0.0016313527701960345,0.0029275221895278397
6,0.5,-0.0016320314183190798,0.0029268435414047944
6,0.6,-0.0016269246095358403,0.002931950350188034
7,0.4,0.0005513871829479211,0.001824250995953819
7,0.5,0.0005531034831710024,0.0018259672961769002
7,0.6,0.0005605038299551501,0.001833367642961048
8,0.4,5.011661180268079e-05,0.0014593955152413796
8,0.5,5.0291449361139495e-05,0.0014595703527998383
8,0.6,5.570549274228065e-05,0.0014649843961809794
9,0.4,-0.00019050191806160854,-0.0004185100407166076
9,0.5,-0.00019135695584168722,-0.00041936507849668625
9,0.6,-0.00018857032143637653,-0.00041657844409137557
10,0.4,-0.0017346911313902563,9.091371552190364e-05
10,0.5,-0.0017362341458764252,8.937070103573475e-05
10,0.6,-0.001734832401151909,9.077244576025101e-05
11,0.4,-0.0009921322625371098,0.0010442527618373665
11,0.5,-0.0009924353709669376,0.0010439496534075388
11,0.6,-0.0009879234786659558,0.0010484615457085206
12,0.4,0.0005165036508979481,-0.0004761973936306396
12,0.5,0.0005127591967544476,-0.0004799418477741402
12,0.6,0.0005126960122774915,-0.00048000503225109625
13,0.4,-0.0006205645718800751,-2.9938715316313314e-05
13,0.5,-0.0006196323260069247,-2.9006469443162985e-05
13,0.6,-0.0006129249300902001,-2.229907352643834e-05
14,0.4,-0.0007089928290126557,-0.0016748651348517662
14,0.5,-0.0007127072546031371,-0.0016785795604422477
14,0.6,-0.0007114903545841766,-0.0016773626604232872
15,0.4,-4.219111212851179e-05,0.0013445273152579013
15,0.5,-4.236765079121407e-05,0.001344350776595199
15,0.6,-3.477153451632298e-05,0.00135194689287009
16,0.4,0.0009402487298371676,5.678671853726058e-05
16,0.5,0.0009392604507288405,5.579843942893348e-05
16,0.6,0.0009408697722615156,5.74077609616086e-05
17,0.4,-0.00010829472033027643,0.0017497018317758906
17,0.5,-0.00011061413799157149,0.0017473824141145955
17,0.6,-0.00010691863310219318,0.0017510779190039738
18,0.4,-0.0014329861394211801,-0.00022634774246257927
18,0.5,-0.0014349569594544337,-0.00022831856249583282
18,0.6,-0.001438452788742467,-0.0002318143917838661
19,0.4,0.00010123014390853169,0.0007490228669642662
19,0.5,9.944210447609958e-05,0.0007472348275318341
19,0.6,0.00010362982067219084,0.0007514225437279254
20,0.4,-0.0009437276801333438,0.0013331760059554498
20,0.5,-0.0009450955704793096,0.001331808115609484
20,0.6,-0.0009385552625746085,0.0013383484235141851
21,0.4,-0.0005891442183863227,0.0010760681669954308
21,0.5,-0.0005907838792851561,0.0010744285060965975
21,0.6,-0.0005884373005635712,0.0010767750848181823
22,0.4,-0.0007245843942770558,0.0015656445598166147
22,0.5,-0.0007272830614918624,0.001562945892601808
22,0.6,-0.0007256036902820173,0.0015646252638116531
23,0.4,-0.0005755706619616219,0.0005220037722005466
23,0.5,-0.0005756937025810233,0.0005218807315811452
23,0.6,-0.0005703628898899998,0.0005272115442721687
24,0.4,-4.244707835829309e-05,0.001721855801585348
24,0.5,-4.577111996056926e-05,0.0017185317599830718
24,0.6,-3.896812258175064e-05,0.0017253347573618905
25,0.4,-0.001145981915582378,-0.0006188549496944223
25,0.5,-0.0011481729505328359,-0.0006210459846448801
25,0.6,-0.0011436975173779035,-0.0006165705514899478
26,0.4,-0.0005915882732817901,-0.001835413932974428
26,0.5,-0.0005951655217095314,-0.0018389911814021692
26,0.6,-0.0005902518705166171,-0.001834077530209255
27,0.4,-0.0006538128894044426,0.0015872092572187246
27,0.5,-0.0006559511878958257,0.0015850709587273415
27,0.6,-0.0006565152629005033,0.001584506883722664
28,0.4,-0.001332700108075499,-0.0005306775168991834
28,0.5,-0.0013335593727672318,-0.0005315367815909161
28,0.6,-0.0013303964795173262,-0.0005283738883410105
29,0.4,-0.0006499625626134042,0.0011407442148475277
29,0.5,-0.000653024176290401,0.001137682601170531
29,0.6,-0.000649199826841862,0.00114150695061907
30,0.4,-0.0001497781605968307,0.00039956734142587713
30,0.5,-0.00015000659723299337,0.00039933890478971446
30,0.6,-0.00014824993143783272,0.0004010955705848751
31,0.4,-0.00014285784477632846,-0.0007581170078005961
31,0.5,-0.00014472970076803704,-0.0007599888637923047
31,0.6,-0.0001429106872602448,-0.0007581698502845124
32,0.4,0.0009189392833646171,-0.00030514379148058324
32,0.5,0.000918467647917115,-0.0003056154269280853
32,0.6,0.0009127357919382351,-0.00031134728290696523
33,0.4,0.000254018196932021,0.0020604161031752
33,0.5,0.0002533000497249305,0.0020596979559681095
33,0.6,0.000254883933841904,0.002061281840085083
34,0.4,-0.0005938403523000901,0.0002443358867082468
34,0.5,-0.0005943622002319848,0.0002438140387763521
34,0.6,-0.0005913136918444251,0.00024686254716391187
35,0.4,-0.0008290766399663557,0.0013159696046429747
35,0.5,-0.0008305201969810994,0.0013145260476282311
35,0.6,-0.0008244292919913077,0.0013206169526180228
36,0.4,0.000278650031904637,-0.0010628886979406754
36,0.5,0.00027678093688822403,-0.0010647577929570884
36,0.6,0.00027843108687107543,-0.001063107642974237
37,0.4,0.0007055708693886609,0.001566629171313283
37,0.5,0.0007076354022002851,0.0015686937041249072
37,0.6,0.0007084449886755884,0.0015695032906002104
38,0.4,-0.0010232108123874317,-0.0009430053220401968
38,0.5,-0.001024955063181121,-0.0009447495728338862
38,0.6,-0.0010244692694629243,-0.0009442637791156894
39,0.4,-0.0005086282661165287,-0.00017319743880751803
39,0.5,-0.0005118064950749013,-0.00017637566776589064
39,0.6,-0.000510016038353836,-0.00017458521104482538
40,0.4,-0.001968072025357953,-0.0007632618469267521
40,0.5,-0.0019686247575081417,-0.0007638145790769407
40,0.6,-0.0019576337924264303,-0.0007528236139952293
41,0.4,4.404551364539655e-05,0.0006055173821873094
41,0.5,3.988820926564829e-05,0.0006013600778075612
41,0.6,4.013807682337611e-05,0.000601609945365289
42,0.4,1.8041816935432387e-06,-0.0016948296186727468
42,0.5,6.10868532396891e-07,-0.0016960229318338932
42,0.6,4.329577358450076e-06,-0.00169230422300784
43,0.4,-0.00021725735699840154,-0.0038243440987043575
43,0.5,-0.0002183288107871495,-0.0038254155524931055
43,0.6,-0.00021206709101329047,-0.0038191538327192465
44,0.4,-0.0002490189383132779,0.0028357208429249936
44,0.5,-0.00025256736271991875,0.0028321724185183528
44,0.6,-0.0002513795412219799,0.0028333602400162916
45,0.4,-3.576530147403334e-05,0.001466248311190993
45,0.5,-3.527347075776843e-05,0.0014667401419072579
45,0.6,-3.421659819943801e-05,0.0014677970144655883
46,0.4,-0.0006588633534105603,-0.0006738357621738633
46,0.5,-0.0006607698634742559,-0.0006757422722375589
46,0.6,-0.0006550406219714838,-0.0006700130307347868
47,0.4,-0.00038692777868234995,0.005220242244913492
47,0.5,-0.0003906217235460918,0.00521654830004975
47,0.6,-0.00039408262360352,0.005213087399992322
48,0.4,-0.0001977563046319658,6.660814496481371e-05
48,0.5,-0.00019806893341951792,6.629551617726159e-05
48,0.6,-0.00019145361484418366,7.291083475259585e-05
49,0.4,-0.0015035450270624307,0.0018198808918587356
49,0.5,-0.0015050712532395927,0.0018183546656815736
49,0.6,-0.0015017349562292115,0.0018216909626919547
50,0.4,-0.0013499516377141751,0.002373009489176514
50,0.5,-0.0013503676873216075,0.0023725934395690818
50,0.6,-0.0013440833802819685,0.0023788777466087208
51,0.4,-0.0008573205897206004,0.0009216722428142116
51,0.5,-0.0008559104521634331,0.0009230823803713789
51,0.6,-0.0008498231905791076,0.0009291696419557044
52,0.4,-0.0006683608608988589,0.0021063284836355806
52,0.5,-0.0006687157022885054,0.002105973642245934
52,0.6,-0.0006704784422656707,0.002104210902268769
53,0.4,-0.0008257837936718748,-0.0017665705773401846
53,0.5,-0.0008276235270226334,-0.0017684103106909432
53,0.6,-0.0008272104112203443,-0.0017679971948886541
54,0.4,-0.0007164180253151353,-0.0015922439374112668
54,0.5,-0.0007155453152038749,-0.0015913712273000064
54,0.6,-0.0007068787694272105,-0.001582704681523342
55,0.4,-0.0012296101434139534,0.00176918308675926
55,0.5,-0.0012297659343648154,0.001769027295808398
55,0.6,-0.0012246493620689802,0.0017741438681042332
56,0.4,-0.0012704464054841408,-0.0008914120414726251
56,0.5,-0.0012685092619233035,-0.0008894748979117878
56,0.6,-0.001263135200200008,-0.0008841008361884922
57,0.4,0.0005992642059431952,-0.00095721801573323
57,0.5,0.000597142981600296,-0.0009593392400761291
57,0.6,0.0005990312074758419,-0.0009574510142005832
58,0.4,0.0007798347573053921,0.0015979877938980813
58,0.5,0.000778945221311278,0.0015970982579039672
58,0.6,0.0007855829948800741,0.0016037360314727633
59,0.4,-0.0004769946793958951,-1.3983631182767908e-05
59,0.5,-0.00047743743503562974,-1.4426386822502524e-05
59,0.6,-0.00047306758618234634,-1.0056537969219126e-05
60,0.4,0.0003332488003106038,-0.0013471463942203166
60,0.5,0.00033118598423870216,-0.0013492092102922182
60,0.6,0.0003342317727165478,-0.0013461634218143725
61,0.4,-0.0007562447882369372,0.0016485841472814872
61,0.5,-0.0007557966163867502,0.0016490323191316741
61,0.6,-0.0007543545224303339,0.0016504744130880905
62,0.4,-0.0004519890585367725,0.00045497789743190187
62,0.5,-0.00045389361405595574,0.00045307334191271864
62,0.6,-0.00044911564497340795,0.00045785131099526644
63,0.4,0.00045612626482610663,8.321290037216489e-05
63,0.5,0.00045540385521794513,8.249049076400339e-05
63,0.6,0.0004579781893130075,8.506482485906575e-05
64,0.4,7.775016853561745e-06,-0.0017435082906921001
64,0.5,6.502304393640745e-06,-0.0017447810031520211
64,0.6,5.639887036071323e-06,-0.0017456434205095905
65,0.4,0.0009105621338720282,-0.0019621159344551664
65,0.5,0.0009117780668801978,-0.001960900001446997
65,0.6,0.000910232906451619,-0.0019624451618755756
66,0.4,-0.0002158177901114,-0.001242907834795623
66,0.5,-0.0002148927880293583,-0.0012419828327135812
66,0.6,-0.00020998004497485567,-0.0012370700896590786
67,0.4,-0.0007097335567826518,-0.000892511358485143
67,0.5,-0.0007091703129304822,-0.0008919481146329733
67,0.6,-0.0007032379652912729,-0.000886015766993764
68,0.4,0.0012150518907967922,0.0017146070358771692
68,0.5,0.0012141673302859257,0.0017137224753663027
68,0.6,0.0012142040886189698,0.0017137592336993468
69,0.4,-0.0012243996405882224,-0.0012010243730796455
69,0.5,-0.0012239168178863197,-0.0012005415503777428
69,0.6,-0.0012167632886043445,-0.0011933880210957676
70,0.4,-0.0018992888748705083,-0.0012737802320853947
70,0.5,-0.0018991709977347337,-0.00127366235494962
70,0.6,-0.0018957876550898256,-0.001270279012304712
71,0.4,9.129501983284882e-06,0.0019312729169498055
71,0.5,6.204053921099462e-06,0.00192834746888762
71,0.6,7.779605224828012e-06,0.0019299230201913486
72,0.4,0.00019928989027970245,-0.0010225934057111474
72,0.5,0.00019731227150862618,-0.0010245710244822237
72,0.6,0.00019731918259000003,-0.0010245641134008499
73,0.4,-0.0006382521978921529,-0.0005542707441555522
73,0.5,-0.0006398238576575399,-0.0005558424039209392
73,0.6,-0.0006353113898454332,-0.0005513299361088325
74,0.4,-0.0003702519732406706,-0.0018654232132248039
74,0.5,-0.00037200582123805837,-0.0018671770612221916
74,0.6,-0.0003659036208885219,-0.0018610748608726552
75,0.4,-0.0011915778204650007,-0.0010334223809765203
75,0.5,-0.0011918229908095407,-0.0010336675513210603
75,0.6,-0.0011848594240057297,-0.0010267039845172493
76,0.4,-0.0004902105517790023,-4.9739699091777556e-05
76,0.5,-0.0004929177536233398,-5.244690093611504e-05
76,0.6,-0.00048683526921074194,-4.6364416523517193e-05
77,0.4,6.445259098428191e-05,0.0022333856443594313
77,0.5,6.341004031407138e-05,0.002232343093689221
77,0.6,6.442311211660168e-05,0.002233356165491751
78,0.4,-0.0012801603356642904,-0.00022475915660395696
78,0.5,-0.0012811974670506737,-0.00022579628799034024
78,0.6,-0.0012746436039646897,-0.0002192424249043562
79,0.4,-0.0002791536994936755,-0.0005671061169553598
79,0.5,-0.0002809848213613797,-0.000568937238823064
79,0.6,-0.0002769377770132364,-0.0005648901944749207
80,0.4,0.00030099525473492594,0.0020680957530653243
80,0.5,0.00029865509290166736,0.0020657555912320658
80,0.6,0.0003039446287519676,0.002071045127082366
81,0.4,-0.0012409180970500422,-0.0001524786336936923
81,0.5,-0.0012405807456938867,-0.00015214128233753677
81,0.6,-0.0012355649357811277,-0.0001471254724247778
82,0.4,-0.0005903978030894208,-0.0005765935067572753
82,0.5,-0.0005906628668961578,-0.0005768585705640122
82,0.6,-0.0005876987390350391,-0.0005738944427028936
83,0.4,-0.000732050654730601,-0.0019562178538357344
83,0.5,-0.0007312820930448771,-0.0019554492921500105
83,0.6,-0.0007211358440554483,-0.0019453030431605817
84,0.4,0.00014140198752032873,-0.0003987090214228328
84,0.5,0.00014169549247750046,-0.0003984155164656611
84,0.6,0.00014315962961172768,-0.0003969513793314339
85,0.4,0.0003798037468015769,-0.0005857174506955498
85,0.5,0.000380472828978351,-0.0005850483685187757
85,0.6,0.0003845635680228554,-0.0005809576294742713
86,0.4,-0.0001421083019499808,0.000287052052302339
86,0.5,-0.00014489641500482764,0.00028426393924749216
86,0.6,-0.0001407169023888155,0.0002884434518635043
87,0.4,0.0009925087004213073,0.00032098139933225966
87,0.5,0.0009940693290377,0.0003225420279486524
87,0.6,0.0009973900704014493,0.00032586276931240166
88,0.4,0.0008781293431792125,5.6674795855610194e-05
88,0.5,0.0008744453346882786,5.299078736467622e-05
88,0.6,0.0008751931984470329,5.373865112343057e-05
89,0.4,-0.0001567834928023759,-0.0010979675846234382
89,0.5,-0.0001584990909335171,-0.0010996831827545794
89,0.6,-0.0001576377077328328,-0.0010988217995538951
90,0.4,-0.000795277970702224,0.0028480460918807737
90,0.5,-0.0007985280218231888,0.002844796040759809
90,0.6,-0.0007942923620126718,0.002849031700570326
91,0.4,-0.0011702527545150443,-0.0006215598668035949
91,0.5,-0.0011691415837491032,-0.0006204486960376537
91,0.6,-0.0011620729065878743,-0.0006133800188764249
92,0.4,-0.0010213861376074385,0.0005128457119500107
92,0.5,-0.0010210377783260172,0.000513194071231432
92,0.6,-0.0010171468933123373,0.0005170849562451119
93,0.4,-0.00027612608177690623,0.0005947606940021055
93,0.5,-0.00027759549368805425,0.0005932912820909575
93,0.6,-0.00027972562787392796,0.0005911611479050838
94,0.4,0.0005527170718188923,0.0013057590571404765
94,0.5,0.0005535197506742195,0.0013065617359958037
94,0.6,0.0005578376402255447,0.0013108796255471289
95,0.4,-0.0006377840481184283,-0.0001906495420239407
95,0.5,-0.0006388520094982864,-0.00019171750340379878
95,0.6,-0.000632517210961428,-0.00018538270486694042
96,0.4,0.0003493923353092565,2.764431685103874e-05
96,0.5,0.00034850367626843015,2.6755657810212385e-05
96,0.6,0.0003555037214503509,3.375570299213315e-05
97,0.4,-0.0009705924691356949,-0.001221911718312929
97,0.5,-0.000970016780336147,-0.0012213360295133813
97,0.6,-0.0009689565422444368,-0.001220275791421671
98,0.4,-0.0009306313980006475,0.00010908697616904273
98,0.5,-0.0009318135263395588,0.00010790484783013143
98,0.6,-0.0009267178973724755,0.00011300047679721481
99,0.4,0.0003031326437166748,0.0012959108980697964
99,0.5,0.00030054334898271806,0.0012933216033358397
99,0.6,0.0003032210459092133,0.001295999300262335
100,0.4,-0.0011811337548184309,-0.0007553500115664025
100,0.5,-0.0011796491949812998,-0.0007538654517292714
100,0.6,-0.0011749556862389182,-0.0007491719429868898
101,0.4,-0.00023512460388888656,0.000525299200706375
101,0.5,-0.00023454190774319095,0.0005258818968520707
101,0.6,-0.00022891211479822426,0.0005315116897970373
102,0.4,0.00026135345411092137,0.0004698430299035078
102,0.5,0.00026152858470884777,0.0004700181605014342
102,0.6,0.00027114833587341125,0.0004796379116659977
103,0.4,0.0006734147960881787,-0.0015452574356031867
103,0.5,0.0006743923312717004,-0.001544279900419665
