candidate,beta,mode,seed,outer_fold,alpha,fit_objective,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
beta_0.900_logloss,0.9,logloss,17,0,-0.18037055698562351,0.4101931621174055,True,0.1367038757967255,0.13675945578047988,5.5579983754383555e-05,0.15681828933966824,0.17466766816666907,0.017849378827000828,1.1784890950524873,1.3094324398338348,0.1309433447813475,96,18
beta_0.900_logloss,0.9,logloss,17,1,-0.10409883471914387,0.41834733966321647,True,0.11663494349976604,0.11685013736392247,0.00021519386415642938,-0.18411882526466739,-0.23698039672982418,0.0528615714651568,0.7179363254886001,0.7977064188487182,-0.07977009336011809,95,14
beta_0.900_logloss,0.9,logloss,17,2,-0.10477953108967022,0.4216072847908501,True,0.11454584388648568,0.11516158017334936,0.0006157362868636773,-0.14437696888776075,-0.19926230195644212,0.054885333068681375,1.5502376045105999,1.7224864196987664,0.17224881518816648,105,16
beta_0.900_logloss,0.9,logloss,17,3,-0.11721169199606883,0.4208491052329235,True,0.11736647687204238,0.11822087581641276,0.0008543989443703798,-0.08634074929360558,-0.1267294975728993,0.04038874827929373,2.3622646440021278,2.6247384908589955,0.2624738468568677,99,16
beta_0.900_logloss,0.9,logloss,17,4,-0.21932137604297505,0.3993538442434928,True,0.14606029689061706,0.14631678143822224,0.0002564845476051847,0.3421075949114921,0.38719823272521015,0.045090637813718026,0.5380560576557074,0.5978400606798013,-0.059784003024093924,97,19
beta_0.900_logloss,0.9,logloss,29,0,-0.17369991389451273,0.42195735528949385,True,0.1328543229943847,0.13307978527188374,0.00022546227749903336,0.11962024145905559,0.13200729646081633,0.012387055001760738,0.892327700024139,0.9914751869025542,-0.09914748687841524,99,18
beta_0.900_logloss,0.9,logloss,29,1,-0.12791160070919375,0.41328908818889537,True,0.15477786124894807,0.15068187511256903,-0.004095986136379043,-0.1015222398111073,-0.11128634358912887,0.00976410377802156,0.23476639868190313,0.2608515841113003,-0.026085185429397306,95,16
beta_0.900_logloss,0.9,logloss,29,2,-0.21498495554972877,0.4238504826217652,True,0.13434832412190317,0.1358925087745632,0.0015441846526600134,0.27785509587707125,0.31720493043578835,0.0393498345587171,2.0894017868638044,2.3215575836279028,0.23215579676409837,106,20
beta_0.900_logloss,0.9,logloss,29,3,-0.11884947071405805,0.42282569290028227,True,0.13091801219732,0.1296566647300259,-0.0012613474672940883,-0.12289497349618808,-0.14698415282869914,0.024089179332511063,0.4126193561358848,0.4584658299181912,-0.04584647378230633,99,16
beta_0.900_logloss,0.9,logloss,29,4,-0.1012311445097286,0.43737944605962387,True,0.10797975345654266,0.10832655352003573,0.00034680006349306625,-0.20913650174666965,-0.26708106201657345,0.0579445602699038,1.350457764207584,1.500508724407824,0.15005096020024,93,13
beta_0.900_logloss,0.9,logloss,43,0,-0.15792063967271178,0.40540959380979047,True,0.1268474565242424,0.12786480561357416,0.001017349089331765,0.21400210413475695,0.20351293911215362,-0.01048916502260333,1.8855763638069252,2.0950847828195878,0.2095084190126626,98,18
beta_0.900_logloss,0.9,logloss,43,1,-0.11737742610151378,0.40370261410902036,True,0.12007731169487006,0.12047434084650789,0.00039702915163783437,0.018773743188291836,-0.01896230963003187,0.00018856644174003456,0.8427729832962388,0.9364146421000742,-0.09364165880383535,95,16
beta_0.900_logloss,0.9,logloss,43,2,-0.15423231097344955,0.39804497669163186,True,0.13586334823545354,0.13564707544711876,-0.00021627278833477592,0.16194226608343032,0.15433504350300153,-0.007607222580428785,1.0644062561792875,1.1826744764645847,0.11826822028529715,102,19
beta_0.900_logloss,0.9,logloss,43,3,-0.01923903760867453,0.4276131369477245,True,0.08354755796747913,0.08604735846358236,0.0024998004961032244,-0.4800748751977927,-0.6035977100920522,0.12352283489425953,1.6253743001749277,1.805971041304124,0.18059674112919621,100,12
beta_0.900_logloss,0.9,logloss,43,4,-0.1591388505499217,0.3847827162968134,True,0.1520642973910393,0.15019175503199397,-0.001872542359045326,0.1989039729425789,0.19511046601401177,-0.003793506928567114,0.143847512706933,0.1598305442407803,-0.01598303153384739,97,18
beta_0.900_logloss,0.9,logloss,71,0,-0.17687956946311073,0.4085332567636411,True,0.12355195368744488,0.12465803033623432,0.0011060766487894363,0.16019278230784872,0.17099442448005564,0.010801642172206916,,1.73521587322974,,98,18
