cohort,n,events,coverage_raw,coverage_bridge,base_definition,alpha,beta,rank_preserved_risk,rank_preserved_score,ipcw_brier_raw,ipcw_brier_bridge,delta_ipcw_brier,citl_raw,citl_bridge,delta_citl,abs_citl_error_change,calibration_slope_raw,calibration_slope_bridge,delta_calibration_slope,abs_slope_error_change,n_evaluable,events_evaluable,mean_predicted_risk_raw,mean_predicted_risk_bridge,passes_brier_nonharm_gate_0.0005,calibration_citl_improved,calibration_slope_improved,all_directional_checks_pass
GSE65858,244,78,1.0,1.0,legacy_phase6_B6_risk,-0.1450337985699547,0.9,True,True,0.22476857078803514,0.20907129608369623,-0.015697274704338904,-1.3315675801188518,-1.181249173690285,0.15031840642856675,-0.15031840642856675,0.6087036981031064,0.67633754833617,0.06763385023306356,-0.06763385023306356,211,46,0.45190475904161037,0.4241258414719084,True,True,True,True
GSE41613,97,51,1.0,1.0,legacy_phase6_B6_risk,-0.1450337985699547,0.9,True,True,0.2042673019108764,0.19790985537484124,-0.0063574465360351495,-0.5712850129663013,-0.45678239517372343,0.11450261779257787,-0.11450261779257787,0.7911682715520584,0.8790759560651004,0.08790768451304198,-0.08790768451304198,97,31,0.3976086112279038,0.37489142920299473,True,True,True,True
