seed,outer_fold,candidate,gamma,beta_effective,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
17,0,bounded_global_full_g0.25,0.25,1.0499383968725946,True,0.1367038757967255,0.1368981148974628,0.0001942391007373201,0.15681828933966824,0.16940382649794183,0.012585537158273596,1.1784890950524873,1.1224364547592383,-0.05605264029324908,96,18
17,1,bounded_global_full_g0.25,0.25,1.0351300472112437,True,0.11663494349976604,0.1168918663533962,0.0002569228536301593,-0.18411882526466739,-0.20233398220843657,0.018215156943769184,0.7179363254886001,0.6935709055193245,0.024365419969275548,95,14
17,2,bounded_global_full_g0.25,0.25,0.9976624168150272,True,0.11454584388648568,0.11460174062918028,5.589674269459999e-05,-0.14437696888776075,-0.15937907573554722,0.015002106847786467,1.5502376045105999,1.5538698328587728,0.0036322283481728945,105,16
17,3,bounded_global_full_g0.25,0.25,0.9752787142795597,True,0.11736647687204238,0.1175644967141872,0.00019801984214481982,-0.08634074929360558,-0.09633448944171763,0.009993740148112051,2.3622646440021278,2.422143022301995,0.05987837829986731,99,16
17,4,bounded_global_full_g0.25,0.25,1.0569313618451315,True,0.14606029689061706,0.14633631257473054,0.00027601568411347865,0.3421075949114921,0.360141064683264,0.018033469771771893,0.5380560576557074,0.5090737529275349,0.028982304728172537,97,19
29,0,bounded_global_full_g0.25,0.25,0.9375,True,0.1328543229943847,0.1329724686530115,0.00011814565862677817,0.11962024145905559,0.12705591262839067,0.0074356711693350785,0.892327700024139,0.9518163423590384,-0.05948864233489948,99,18
29,1,bounded_global_full_g0.25,0.25,0.9522808619567786,True,0.15477786124894807,0.15281473778451057,-0.0019631234644374995,-0.1015222398111073,-0.10504506835522442,0.003522828544117118,0.23476639868190313,0.24653066526761183,-0.011764266585708727,95,16
29,2,bounded_global_full_g0.25,0.25,0.9375,True,0.13434832412190317,0.1351668678160222,0.0008185436941190172,0.27785509587707125,0.2933518805563856,0.015496784679314368,2.0894017868638044,2.228695428595826,0.13929364173202163,106,20
29,3,bounded_global_full_g0.25,0.25,0.9375,True,0.13091801219732,0.12999724599295712,-0.0009207662043628773,-0.12289497349618808,-0.12487340872813912,0.0019784352319510423,0.4126193561358848,0.44012734067227643,-0.027507984536391583,99,16
29,4,bounded_global_full_g0.25,0.25,0.9375,True,0.10797975345654266,0.10800531352031378,2.556006377112119e-05,-0.20913650174666965,-0.21788481762473821,0.008748315878068569,1.350457764207584,1.4404882575831581,0.09003049337557423,93,13
