candidate,beta,mode,alpha,fit_objective,seed,outer_fold
beta_0.975_mix_25,0.975,mix_25,-0.06397435272610678,0.19607987146012107,71,0
beta_0.975_mix_50,0.975,mix_50,-0.06171708262881213,0.26717505424709814,71,0
beta_0.975_mix_75,0.975,mix_75,-0.06046175858123773,0.33827002015065044,71,0
beta_0.975_logloss,0.975,logloss,-0.05966205184098523,0.4093648872446757,71,0
beta_0.900_brier,0.9,brier,-0.11835124651976786,0.11726953712190313,71,1
beta_0.900_mix_25,0.9,mix_25,-0.15065927110662228,0.1843832182477451,71,1
beta_0.900_mix_50,0.9,mix_50,-0.1651972351499102,0.2514704988748135,71,1
beta_0.900_mix_75,0.9,mix_75,-0.17337001207532488,0.31854865658595105,71,1
beta_0.900_logloss,0.9,logloss,-0.17858921125601995,0.38562263591952484,71,1
beta_0.925_brier,0.925,brier,-0.08173827961108536,0.11722637036718975,71,1
beta_0.925_mix_25,0.925,mix_25,-0.11207073536604024,0.18428683692717301,71,1
beta_0.925_mix_50,0.925,mix_50,-0.12569095199714392,0.2513241973139995,71,1
beta_0.925_mix_75,0.925,mix_75,-0.13334631347702214,0.31835358114118356,71,1
beta_0.925_logloss,0.925,logloss,-0.13823571902764298,0.3853793107168462,71,1
beta_0.950_brier,0.95,brier,-0.045463411425476725,0.11719301737877004,71,1
beta_0.950_mix_25,0.95,mix_25,-0.07371555982162602,0.18420679407552754,71,1
beta_0.950_mix_50,0.95,mix_50,-0.08637256807792028,0.25120067485223163,71,1
beta_0.950_mix_75,0.95,mix_75,-0.09348463664998637,0.3181876953561598,71,1
beta_0.950_logloss,0.95,logloss,-0.09802753315237707,0.3851715724368291,71,1
beta_0.975_brier,0.975,brier,-0.009520502966600343,0.11716921567935387,71,1
beta_0.975_mix_25,0.975,mix_25,-0.03558846341626727,0.18414285161643842,71,1
beta_0.975_mix_50,0.975,mix_50,-0.04723804930692749,0.25109968196677745,71,1
beta_0.975_mix_75,0.975,mix_75,-0.05378184594697238,0.31805072541426527,71,1
beta_0.975_logloss,0.975,logloss,-0.057962013805717034,0.38499911696751316,71,1
beta_0.900_brier,0.9,brier,-0.034481382345767385,0.13205407604777544,71,2
beta_0.900_mix_25,0.9,mix_25,-0.04545441066270724,0.20523767667131915,71,2
beta_0.900_mix_50,0.9,mix_50,-0.05034686674034332,0.27841806003565656,71,2
beta_0.900_mix_75,0.9,mix_75,-0.05310592986942779,0.3515973279639272,71,2
beta_0.900_logloss,0.9,logloss,-0.05487521153605905,0.4247760806232711,71,2
beta_0.925_brier,0.925,brier,0.0025452408847795407,0.13213584934190606,71,2
beta_0.925_mix_25,0.925,mix_25,-0.006585431995148006,0.2053488244578011,71,2
beta_0.925_mix_50,0.925,mix_50,-0.01064371708787443,0.27855959229363636,71,2
beta_0.925_mix_75,0.925,mix_75,-0.012930433107103435,0.3517695967345213,71,2
beta_0.925_logloss,0.925,logloss,-0.014396390297034614,0.4249792487511594,71,2
beta_0.950_brier,0.95,brier,0.03929845844098657,0.13222586071349238,71,2
beta_0.950_mix_25,0.95,mix_25,0.03209630271689048,0.20547660576801396,71,2
beta_0.950_mix_50,0.95,mix_50,0.02890550988995203,0.2787259903627088,71,2
beta_0.950_mix_75,0.95,mix_75,0.027109202309794418,0.3519749056359674,71,2
beta_0.950_logloss,0.95,logloss,0.025957969263733272,0.42522360438812407,71,2
beta_0.975_brier,0.975,brier,0.07577960495671052,0.13232375465686044,71,2
beta_0.975_mix_25,0.975,mix_25,0.07059342977113583,0.20562064539128244,71,2
beta_0.975_mix_50,0.975,mix_50,0.06830349438988974,0.2789168374945129,71,2
beta_0.975_mix_75,0.975,mix_75,0.06701549703386617,0.3522127892264808,71,2
beta_0.975_logloss,0.975,logloss,0.06619033239002178,0.42550863014046975,71,2
beta_0.900_brier,0.9,brier,-0.13403274002891805,0.12262179917604957,71,3
beta_0.900_mix_25,0.9,mix_25,-0.15583609917731125,0.19252626495065006,71,3
beta_0.900_mix_50,0.9,mix_50,-0.1656313703195696,0.2624185021808495,71,3
beta_0.900_mix_75,0.9,mix_75,-0.17115469806304678,0.3323064917019326,71,3
beta_0.900_logloss,0.9,logloss,-0.17469232473258509,0.4021925238668447,71,3
beta_0.925_brier,0.925,brier,-0.09856881036927298,0.12261308288781791,71,3
beta_0.925_mix_25,0.925,mix_25,-0.11843128819070269,0.1925270404746058,71,3
beta_0.925_mix_50,0.925,mix_50,-0.12733756192110807,0.26243092383232874,71,3
beta_0.925_mix_75,0.925,mix_75,-0.13235874744613182,0.33233131088335793,71,3
beta_0.925_logloss,0.925,logloss,-0.13557515132211462,0.40223008643257674,71,3
beta_0.950_brier,0.95,brier,-0.06342595906471102,0.12261250778256118,71,3
beta_0.950_mix_25,0.95,mix_25,-0.08124540777195054,0.19254423300249923,71,3
beta_0.950_mix_50,0.95,mix_50,-0.08921942589603536,0.2624679113073918,71,3
beta_0.950_mix_75,0.95,mix_75,-0.09371409647819698,0.3323887996037191,71,3
beta_0.950_logloss,0.95,logloss,-0.09659356957703906,0.4023084016632852,71,3
beta_0.975_brier,0.975,brier,-0.028602522391764217,0.12261976416453298,71,3
beta_0.975_mix_25,0.975,mix_25,-0.04427571109240164,0.1925775219055056,71,3
beta_0.975_mix_50,0.975,mix_50,-0.051274224246672814,0.2625291033619721,71,3
beta_0.975_mix_75,0.975,mix_75,-0.05521811793819699,0.33247854567255475,71,3
beta_0.975_logloss,0.975,logloss,-0.0577450037610096,0.40242700162167927,71,3
beta_0.900_brier,0.9,brier,-0.0699698761297361,0.12831581791996213,71,4
beta_0.900_mix_25,0.9,mix_25,-0.08866415068015669,0.20048210348397427,71,4
beta_0.900_mix_50,0.9,mix_50,-0.09738918008900058,0.2726382848163745,71,4
beta_0.900_mix_75,0.9,mix_75,-0.10240766962115315,0.3447907873956746,71,4
beta_0.900_logloss,0.9,logloss,-0.10566088422245638,0.4169415519227308,71,4
beta_0.925_brier,0.925,brier,-0.03438400026069893,0.12827541202017215,71,4
beta_0.925_mix_25,0.925,mix_25,-0.05104988616273782,0.20043468719730576,71,4
beta_0.925_mix_50,0.925,mix_50,-0.0588154620511444,0.2725859827932161,71,4
beta_0.925_mix_75,0.925,mix_75,-0.06328194686665665,0.3447343747301983,71,4
beta_0.925_logloss,0.925,logloss,-0.06617800491331534,0.4168813942035855,71,4
beta_0.950_brier,0.95,brier,0.0008613152413323666,0.1282434020452645,71,4
beta_0.950_mix_25,0.95,mix_25,-0.01366146438065716,0.20040290252340914,71,4
beta_0.950_mix_50,0.95,mix_50,-0.020416250099814057,0.2725563842761592,71,4
beta_0.950_mix_75,0.95,mix_75,-0.02430097324184135,0.3447076773897513,71,4
beta_0.950_logloss,0.95,logloss,-0.02682036077514039,0.41685793560471096,71,4
beta_0.975_brier,0.975,brier,0.03576899083449458,0.12821958022613722,71,4
beta_0.975_mix_25,0.975,mix_25,0.023504397043187398,0.20038653498884967,71,4
beta_0.975_mix_50,0.975,mix_50,0.01781119558626334,0.2725492275383302,71,4
beta_0.975_mix_75,0.975,mix_75,0.014537486102385264,0.34471037147703326,71,4
beta_0.975_logloss,0.975,logloss,0.0124140193209804,0.4168707829160621,71,4
beta_0.900_brier,0.9,brier,-0.1971982760081584,0.12763229409137705,101,0
beta_0.900_mix_25,0.9,mix_25,-0.19734055604858033,0.20010547050129093,101,0
beta_0.900_mix_50,0.9,mix_50,-0.1974016706591752,0.27257864642017127,101,0
beta_0.900_mix_75,0.9,mix_75,-0.19743568470441106,0.3450518221749448,101,0
beta_0.900_logloss,0.9,logloss,-0.19745728829409598,0.41752499785503155,101,0
beta_0.925_brier,0.925,brier,-0.1630006633253184,0.12770093687622505,101,0
beta_0.925_mix_25,0.925,mix_25,-0.1608028750529659,0.20022883631690197,101,0
beta_0.925_mix_50,0.925,mix_50,-0.15986188572432003,0.2727566196906238,101,0
beta_0.925_mix_75,0.925,mix_75,-0.15933892908225836,0.34528436436439014,101,0
beta_0.925_logloss,0.925,logloss,-0.15900598444604602,0.4178120914330955,101,0
beta_0.950_brier,0.95,brier,-0.12909569116946729,0.12777681280601907,101,0
beta_0.950_mix_25,0.95,mix_25,-0.12444682694603665,0.2003674386346549,101,0
beta_0.950_mix_50,0.95,mix_50,-0.12246309850016554,0.2729575501077179,101,0
beta_0.950_mix_75,0.95,mix_75,-0.12136155015820746,0.34554749049550804,101,0
beta_0.950_logloss,0.95,logloss,-0.12066038501864632,0.4181373530907599,101,0
beta_0.975_brier,0.975,brier,-0.09548551031659198,0.1278596219342322,101,0
beta_0.975_mix_25,0.975,mix_25,-0.08827105413454682,0.2005209665648526,101,0
beta_0.975_mix_50,0.975,mix_50,-0.08520336110478274,0.27318108465395363,101,0
beta_0.975_mix_75,0.975,mix_75,-0.08350126208107003,0.34584079579804705,101,0
beta_0.975_logloss,0.975,logloss,-0.08241811453667203,0.41850032199607295,101,0
beta_0.900_brier,0.9,brier,-0.13383063297965345,0.13023538936585624,101,1
beta_0.900_mix_25,0.9,mix_25,-0.13268535841493542,0.20373350544200963,101,1
beta_0.900_mix_50,0.9,mix_50,-0.13219451975738103,0.27723158936968545,101,1
beta_0.900_mix_75,0.9,mix_75,-0.13192171687885837,0.350729662572938,101,1
beta_0.900_logloss,0.9,logloss,-0.13174807235982636,0.42422773089787086,101,1
beta_0.925_brier,0.925,brier,-0.09764794095719743,0.13032349155318526,101,1
beta_0.925_mix_25,0.925,mix_25,-0.09444702135962002,0.20388507069450923,101,1
beta_0.925_mix_50,0.925,mix_50,-0.0930794542707067,0.27744640093505313,101,1
beta_0.925_mix_75,0.925,mix_75,-0.09231995189802895,0.35100764833943693,101,1
beta_0.925_logloss,0.925,logloss,-0.09183659730406302,0.42456885808312256,101,1
beta_0.950_brier,0.95,brier,-0.06172416487452933,0.13041811228615544,101,1
beta_0.950_mix_25,0.95,mix_25,-0.05637278360933544,0.2040510164862424,101,1
beta_0.950_mix_50,0.95,mix_50,-0.054093845815757644,0.2776832313391765,101,1
beta_0.950_mix_75,0.95,mix_75,-0.05282920601084814,0.3513152173270962,101,1
beta_0.950_logloss,0.95,logloss,-0.05202454615308893,0.42494709932040986,101,1
beta_0.975_brier,0.975,brier,-0.026061696271202764,0.13051896647397143,101,1
beta_0.975_mix_25,0.975,mix_25,-0.018461711298264637,0.20423103686830668,101,1
beta_0.975_mix_50,0.975,mix_50,-0.015236014919902712,0.27794172989686644,101,1
beta_0.975_mix_75,0.975,mix_75,-0.013447461332958082,0.3516519667824928,101,1
beta_0.975_logloss,0.975,logloss,-0.012309718535158573,0.4253619965187544,101,1
beta_0.900_brier,0.9,brier,-0.10983350256502089,0.1281161194366526,101,2
beta_0.900_mix_25,0.9,mix_25,-0.11096017165063086,0.20035228447776654,101,2
beta_0.900_mix_50,0.9,mix_50,-0.11145610196969356,0.2725884165296305,101,2
beta_0.900_mix_75,0.9,mix_75,-0.11173499936071846,0.34482453724453205,101,2
beta_0.900_logloss,0.9,logloss,-0.11191376115168963,0.417060652729566,101,2
beta_0.925_brier,0.925,brier,-0.07380363684798887,0.12814357935270765,101,2
beta_0.925_mix_25,0.925,mix_25,-0.0723092170928648,0.20036837375698874,101,2
beta_0.925_mix_50,0.925,mix_50,-0.07165360073571762,0.27259311060304015,101,2
beta_0.925_mix_75,0.925,mix_75,-0.07128514425239424,0.3448178277118276,101,2
beta_0.925_logloss,0.925,logloss,-0.07104902690394385,0.4170425357180357,101,2
beta_0.950_brier,0.95,brier,-0.03810089151716755,0.1281799695795106,101,2
beta_0.950_mix_25,0.95,mix_25,-0.0338601057709016,0.20039859966824983,101,2
beta_0.950_mix_50,0.95,mix_50,-0.03200616965323441,0.27261677028422443,101,2
beta_0.950_mix_75,0.95,mix_75,-0.03096498181496211,0.34483478371836274,101,2
beta_0.950_logloss,0.95,logloss,-0.030297902623169132,0.4170527246879993,101,2
beta_0.975_brier,0.975,brier,-0.0027200655162170225,0.12822512033810213,101,2
beta_0.975_mix_25,0.975,mix_25,0.004392042260741395,0.2004428393524193,101,2
beta_0.975_mix_50,0.975,mix_50,0.007489616887051658,0.2726592778889275,101,2
beta_0.975_mix_75,0.975,mix_75,0.00922774722912758,0.3448752795204537,101,2
beta_0.975_logloss,0.975,logloss,0.010341129345988145,0.41709107981787774,101,2
beta_0.900_brier,0.9,brier,-0.2466159934101991,0.12117694841077689,101,3
beta_0.900_mix_25,0.9,mix_25,-0.25500866316420556,0.19102204378439536,101,3
beta_0.900_mix_50,0.9,mix_50,-0.2586403846136016,0.26086547982142566,101,3
beta_0.900_mix_75,0.9,mix_75,-0.260661284412585,0.33070835948294713,101,3
beta_0.900_logloss,0.9,logloss,-0.26194749179865384,0.40055098616462387,101,3
beta_0.925_brier,0.925,brier,-0.21346571338964096,0.12120409359701356,101,3
beta_0.925_mix_25,0.925,mix_25,-0.2194320830637401,0.19109396635667567,101,3
beta_0.925_mix_50,0.925,mix_50,-0.222008105062239,0.26098300718185863,101,3
beta_0.925_mix_75,0.925,mix_75,-0.22344133403947536,0.3308717693434296,101,3
beta_0.925_logloss,0.925,logloss,-0.22435359518267364,0.4007604047652465,101,3
beta_0.950_brier,0.95,brier,-0.18064477025629486,0.12123843404623166,101,3
beta_0.950_mix_25,0.95,mix_25,-0.18407303064038202,0.19118174815463423,101,3
beta_0.950_mix_50,0.95,mix_50,-0.18554980077483843,0.26112478983988874,101,3
beta_0.950_mix_75,0.95,mix_75,-0.18637121790657873,0.3310677403725668,101,3
beta_0.950_logloss,0.95,logloss,-0.1868941610943381,0.40101064943742754,101,3
beta_0.975_brier,0.975,brier,-0.14815360955473872,0.12127964000995428,101,3
beta_0.975_mix_25,0.975,mix_25,-0.14892955484550183,0.19128504646628114,101,3
beta_0.975_mix_50,0.975,mix_50,-0.14926298797483142,0.2612904390848083,101,3
beta_0.975_mix_75,0.975,mix_75,-0.14944841581247195,0.33129582707847566,101,3
beta_0.975_logloss,0.975,logloss,-0.14956647546170385,0.4013012129676712,101,3
beta_0.900_brier,0.9,brier,-0.1001787262541538,0.12517370226748264,101,4
beta_0.900_mix_25,0.9,mix_25,-0.13265020831696747,0.1964914253183899,101,4
beta_0.900_mix_50,0.9,mix_50,-0.14766372287494045,0.2677797304210393,101,4
beta_0.900_mix_75,0.9,mix_75,-0.15621341548483486,0.3390575440110427,101,4
beta_0.900_logloss,0.9,logloss,-0.16171380831739732,0.4103304770591542,101,4
beta_0.925_brier,0.925,brier,-0.0630038912134058,0.1251040668944938,101,4
beta_0.925_mix_25,0.925,mix_25,-0.09443121022194664,0.19642151585699547,101,4
beta_0.925_mix_50,0.925,mix_50,-0.10894896568626518,0.2677115489527428,101,4
beta_0.925_mix_75,0.925,mix_75,-0.11721668455081628,0.33899180657988237,101,4
beta_0.925_logloss,0.925,logloss,-0.1225366448516908,0.41026751520703025,101,4
beta_0.950_brier,0.95,brier,-0.026078604265671622,0.12504124704463723,101,4
beta_0.950_mix_25,0.95,mix_25,-0.05638078295155342,0.19636570544362514,101,4
beta_0.950_mix_50,0.95,mix_50,-0.07036478892220221,0.2676648121910682,101,4
beta_0.950_mix_75,0.95,mix_75,-0.07832868915272787,0.33895488204359425,101,4
beta_0.950_logloss,0.95,logloss,-0.08345404506491053,0.4102407452175025,101,4
beta_0.975_brier,0.975,brier,0.010596602269747873,0.12498503307046199,101,4
beta_0.975_mix_25,0.975,mix_25,-0.01849782848782398,0.19632373922187465,101,4
beta_0.975_mix_50,0.975,mix_50,-0.03190957390811787,0.26763920524486756,101,4
beta_0.975_mix_75,0.975,mix_75,-0.03954746787286645,0.3389463900921392,101,4
beta_0.975_logloss,0.975,logloss,-0.04446380467858815,0.41024971887201606,101,4
