candidate,beta,mode,alpha,fit_objective,seed,outer_fold
beta_0.950_logloss,0.95,logloss,-0.035781305319367664,0.4209827799300735,17,3
beta_0.975_brier,0.975,brier,-0.008104442628863123,0.12847064743980097,17,3
beta_0.975_mix_25,0.975,mix_25,-0.0011331418803831024,0.20162643831949437,17,3
beta_0.975_mix_50,0.975,mix_50,0.0019318970309900136,0.2747809750740435,17,3
beta_0.975_mix_75,0.975,mix_75,0.0036595563446392755,0.34793507915564736,17,3
beta_0.975_logloss,0.975,logloss,0.004769185442089075,0.4210889827402293,17,3
beta_0.900_brier,0.9,brier,-0.15878368716283145,0.12163745796832431,17,4
beta_0.900_mix_25,0.9,mix_25,-0.1912548244025223,0.1910933938470752,17,4
beta_0.900_mix_50,0.9,mix_50,-0.20587271659492887,0.2605214309245578,17,4
beta_0.900_mix_75,0.9,mix_75,-0.21408290205169742,0.3299398390530497,17,4
beta_0.900_logloss,0.9,logloss,-0.21932137604297505,0.3993538442434928,17,4
beta_0.925_brier,0.925,brier,-0.12073988365878711,0.12156491031367454,17,4
beta_0.925_mix_25,0.925,mix_25,-0.15221602632646625,0.19095644831553987,17,4
beta_0.925_mix_50,0.925,mix_50,-0.1663834300651764,0.26032182750054933,17,4
beta_0.925_mix_75,0.925,mix_75,-0.17434353397452684,0.32967817278203465,17,4
beta_0.925_logloss,0.925,logloss,-0.17942429602689475,0.39903038420923626,17,4
beta_0.950_brier,0.95,brier,-0.08294036380493251,0.1214985380369121,17,4
beta_0.950_mix_25,0.95,mix_25,-0.11334496422782346,0.1908290446959655,17,4
beta_0.950_mix_50,0.95,mix_50,-0.1270255584529215,0.2601352028646187,17,4
beta_0.950_mix_75,0.95,mix_75,-0.13471476226405465,0.32943294820628016,17,4
beta_0.950_logloss,0.95,logloss,-0.13962428906785082,0.39872684122819896,17,4
beta_0.975_brier,0.975,brier,-0.04538115051460778,0.12143828347908994,17,4
