study,partition,seed,indicator,mean,sd,median,q90,max
HANCOCK,oof,17,clinical_ood_mahalanobis,6.5207167276924745,2.584175718568498,5.714457669534539,9.158289143535653,20.983949288568294
HANCOCK,oof,17,clinical_ood_knn,7.047408047781075,2.607837152245727,6.466306791544149,9.891796964232407,21.367924714705588
HANCOCK,oof,17,clinical_ood_isolation_forest,0.4126087194143706,0.04484516961367974,0.4007891897447849,0.47199458600108557,0.6291287811343599
HANCOCK,oof,17,clinical_uncertainty_sd,0.028986582488670726,0.023059420146534147,0.02321895956529158,0.04392183108170798,0.2539053866639444
HANCOCK,oof,17,clinical_uncertainty_width95,0.09502659520632711,0.07234612469599899,0.07642867857181494,0.1439328216714664,0.79349451150394
HANCOCK,oof,17,clinical_model_disagreement,0.048414226895581634,0.04742300536883422,0.04040616551994569,0.09146087868863698,0.6884928227127772
HANCOCK,oof,17,modality_ood_mahalanobis,4.543739140686528,1.9172771589068867,4.113298772710387,6.404807760729345,27.783464289455036
HANCOCK,oof,17,modality_ood_knn,3.7579983039308127,1.360155324178996,3.671276414004866,5.244413019635038,10.516159682803229
HANCOCK,oof,17,modality_ood_isolation_forest,0.42747064888053127,0.06350882230491034,0.40958117659940274,0.5183482528524059,0.6792316096743005
HANCOCK,oof,17,fusion_uncertainty_sd,0.039412410769469323,0.030354487830761962,0.03000024375356166,0.07251421912861739,0.21944064596779497
HANCOCK,oof,17,fusion_uncertainty_width95,0.13126134090782432,0.09905627768089155,0.10103137358741174,0.24219602832027826,0.6984150304029123
HANCOCK,oof,17,perturbation_sensitivity,0.061696864994075964,0.06577296576709314,0.041771590716398466,0.14229230569200324,0.4313174052946498
HANCOCK,oof,17,modality_missingness,0.10408997955010225,0.2570195662996501,0.0,0.8,1.0
HANCOCK,oof,17,fusion_disagreement,0.008375963873272205,0.01758430086394003,0.0044606223791705535,0.013512082382860346,0.21606492277501743
HANCOCK,oof,17,clinical_ood_rank,0.4714707164169097,0.2809879231551466,0.42622950819672134,0.8748633879781421,1.0
HANCOCK,oof,17,modality_ood_rank,0.48855140970196786,0.25714785158531855,0.4453551912568306,0.8551912568306012,0.983606557377049
HANCOCK,oof,17,clinical_unreliability,0.4988322326147932,0.21648560682533505,0.4799635701275045,0.8218579234972678,0.9936247723132969
HANCOCK,oof,17,modality_unreliability,0.5663414797680109,0.14329719623352374,0.560655737704918,0.763497267759563,0.9300546448087431
HANCOCK,calibration,17,clinical_ood_mahalanobis,6.742647563317895,2.5284202421747337,6.070819778536446,9.432602924703671,15.373980926563425
HANCOCK,calibration,17,clinical_ood_knn,7.166679745481748,2.436412040287494,6.831999648219512,9.945106654308278,15.1106325755189
HANCOCK,calibration,17,clinical_ood_isolation_forest,0.4176410040615445,0.04746459563301735,0.40521235213010454,0.4797811480206906,0.588976474584155
HANCOCK,calibration,17,clinical_uncertainty_sd,0.02426232202667556,0.009081549792211967,0.021758927243575935,0.03639293657255775,0.07097718797891152
HANCOCK,calibration,17,clinical_uncertainty_width95,0.08211449040157333,0.02954641175097195,0.07299015235335218,0.11577865052655242,0.24461149113461883
HANCOCK,calibration,17,clinical_model_disagreement,0.04918249935816308,0.035449049474293656,0.04378334357904745,0.08910107544614579,0.21208234307683838
HANCOCK,calibration,17,modality_ood_mahalanobis,4.562916267561947,1.555081839510035,4.418693814393212,6.157167705961204,10.623923468936084
HANCOCK,calibration,17,modality_ood_knn,3.6948562479376688,1.5104703539572761,3.7347969814974613,5.016852345408853,9.805607003696286
HANCOCK,calibration,17,modality_ood_isolation_forest,0.4357560082662887,0.068966522934008,0.41474716494234476,0.5245555558510883,0.670657724667722
HANCOCK,calibration,17,fusion_uncertainty_sd,0.03342373195213462,0.03267281068686396,0.02390589961844545,0.05356539245121521,0.24068806922179126
HANCOCK,calibration,17,fusion_uncertainty_width95,0.11273429276920924,0.10749966878242692,0.08154539802543762,0.19525824422029434,0.7447425951167016
HANCOCK,calibration,17,perturbation_sensitivity,0.07301825991256591,0.09169688690634532,0.039214571707161416,0.19452201459467086,0.40257186918226584
HANCOCK,calibration,17,modality_missingness,0.13524590163934427,0.28637723810339016,0.0,0.8,0.95
HANCOCK,calibration,17,fusion_disagreement,0.007881517870531698,0.010733191953060767,0.004875914821625027,0.014860075158349952,0.06013181297796899
HANCOCK,calibration,17,clinical_ood_rank,0.5040983606557379,0.2856330048463123,0.5013661202185793,0.8986338797814208,1.0
HANCOCK,calibration,17,modality_ood_rank,0.5040983606557377,0.25073190029440945,0.4713114754098361,0.8385245901639343,0.9890710382513661
HANCOCK,calibration,17,clinical_unreliability,0.5040983606557377,0.2029395879238464,0.47996357012750457,0.8057377049180328,0.9371584699453552
HANCOCK,calibration,17,modality_unreliability,0.5557780166621876,0.1443349991082372,0.5385245901639344,0.7351912568306012,0.96448087431694
HANCOCK,oof,29,clinical_ood_mahalanobis,6.492664555212402,2.4993923733846355,5.767545441566335,9.160691373929811,21.57587669585754
HANCOCK,oof,29,clinical_ood_knn,7.0107980808842525,2.5149244182446493,6.408448312277498,9.86203828305408,21.9606373097075
HANCOCK,oof,29,clinical_ood_isolation_forest,0.41562389154499146,0.045878066469474565,0.40180322034194693,0.4738011327652781,0.6286072537808137
HANCOCK,oof,29,clinical_uncertainty_sd,0.02960406234111848,0.023692163326407858,0.023401178408561544,0.04561189327542264,0.2716757784665694
HANCOCK,oof,29,clinical_uncertainty_width95,0.09805412095541344,0.07726669765700857,0.07669797709693063,0.14988323323480687,0.8449553530802791
HANCOCK,oof,29,clinical_model_disagreement,0.051218444772605176,0.051713851294079995,0.04132229094487416,0.0979330374622921,0.7547097512900035
HANCOCK,oof,29,modality_ood_mahalanobis,4.533184187707697,1.9046372617689142,4.1042507130045305,6.345801136142046,27.592882248406873
HANCOCK,oof,29,modality_ood_knn,3.74427637986772,1.3452671995622936,3.6839753064263534,5.250016682929146,10.230287909309222
HANCOCK,oof,29,modality_ood_isolation_forest,0.42716261400540273,0.06407661312680556,0.4082977723404384,0.5190120193163452,0.6714149384015796
HANCOCK,oof,29,fusion_uncertainty_sd,0.03741909995946051,0.02876554062533303,0.028618705921237792,0.070598127121924,0.26241699088108916
HANCOCK,oof,29,fusion_uncertainty_width95,0.12398726560609123,0.09374426529094841,0.09345706138258486,0.2352845574752824,0.7918754085020875
HANCOCK,oof,29,perturbation_sensitivity,0.05580076993214786,0.055751444967230744,0.038863132906124864,0.12798775262613415,0.2929759789952122
HANCOCK,oof,29,modality_missingness,0.10408997955010225,0.2570195662996501,0.0,0.8,1.0
HANCOCK,oof,29,fusion_disagreement,0.009039925414734494,0.023393012126522308,0.004538996506928017,0.014612039469294612,0.3204134574055906
HANCOCK,oof,29,clinical_ood_rank,0.47605797490138235,0.27701974896666665,0.4316939890710383,0.8743169398907105,1.0
HANCOCK,oof,29,modality_ood_rank,0.4879479700962151,0.2529828352848882,0.45081967213114754,0.8551912568306012,0.9754098360655737
HANCOCK,oof,29,clinical_unreliability,0.4995958444615792,0.20677385950933783,0.47449908925318757,0.813479052823315,0.9981785063752278
HANCOCK,oof,29,modality_unreliability,0.5500687250662106,0.1471312806560531,0.53551912568306,0.7522404371584699,0.9136612021857922
HANCOCK,calibration,29,clinical_ood_mahalanobis,6.742647563317895,2.5284202421747337,6.070819778536446,9.432602924703671,15.373980926563425
