study,partition,seed,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate,ipcw_brier,harrell_c,auc_horizon
HANCOCK,oof,101,0.65,0.6155419222903885,0.39059304703476483,0.2249488752556237,0.38445807770961143,0.06763852190145969,0.6316828130606387,0.6921568640855089
HANCOCK,calibration,101,0.65,0.6557377049180327,0.4344262295081967,0.22131147540983606,0.3442622950819672,0.10675796319173454,0.6122672508214677,0.73511491176805
HANCOCK,oof,101,0.7,0.6809815950920245,0.4437627811860941,0.23721881390593047,0.31901840490797545,0.07502631613722882,0.6295182781004441,0.682145835045627
HANCOCK,calibration,101,0.7,0.7049180327868853,0.5,0.20491803278688525,0.29508196721311475,0.10128973088751714,0.6125356125356125,0.6973680880533747
HANCOCK,oof,101,0.75,0.7075664621676891,0.5746421267893661,0.1329243353783231,0.29243353783231085,0.07610414069268613,0.6110937792475198,0.6540666034963508
HANCOCK,calibration,101,0.75,0.7540983606557377,0.5737704918032787,0.18032786885245902,0.2459016393442623,0.09746652048641984,0.5977382875605816,0.6559888816774451
HANCOCK,oof,101,0.8,0.7750511247443763,0.6523517382413088,0.12269938650306748,0.2249488752556237,0.08223326787825555,0.6266277939747328,0.6736969153167947
HANCOCK,calibration,101,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983,0.10859217966269856,0.602013422818792,0.6553756957574335
HANCOCK,oof,101,0.85,0.8139059304703476,0.7239263803680982,0.08997955010224949,0.18609406952965235,0.08303469818043217,0.6313278558176517,0.6857423952279885
HANCOCK,calibration,101,0.85,0.8524590163934426,0.7295081967213115,0.12295081967213115,0.14754098360655737,0.11989159412852884,0.6004659289458357,0.6559686912248859
HANCOCK,oof,101,0.9,0.8670756646216768,0.7791411042944786,0.08793456032719836,0.1329243353783231,0.09048389129037,0.6366011586958992,0.683595240190048
HANCOCK,calibration,101,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492,0.10855472094651107,0.6517857142857143,0.7401118149815578
HANCOCK,oof,101,0.95,0.9161554192229039,0.8445807770961146,0.07157464212678936,0.08384458077709611,0.09242691771783655,0.636223635754938,0.6744798180724128
