scope,registry_source,asset_path,expected_sha256,actual_sha256,status,note
current_analysis_freeze,configs/analysis_freeze.yaml,configs/base.yaml,974a5c028edc20e7ea30e06f5047bd882ede6157fb343a20baef999642bf2731,974a5c028edc20e7ea30e06f5047bd882ede6157fb343a20baef999642bf2731,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/hancock.yaml,e997a671c9e7623f1a660f4904d452a5c2d85e9f988db1351d1d3585bb2e3f21,e997a671c9e7623f1a660f4904d452a5c2d85e9f988db1351d1d3585bb2e3f21,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/tcga_geo.yaml,83dac7827ec55e7ada69ed48dd25087ff1ebf21dd72a1ad2283b9a0d2703beea,83dac7827ec55e7ada69ed48dd25087ff1ebf21dd72a1ad2283b9a0d2703beea,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/radcure.yaml,add5432d8fd1fc19b503846ca1de649d7ff2ba0f7de14f9dc20ea3be872870bc,add5432d8fd1fc19b503846ca1de649d7ff2ba0f7de14f9dc20ea3be872870bc,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase3_baselines.json,8d18348cf059895a25c3b1a07ea4d670b23fa5a18dfa9809fea64caf40f9822e,8d18348cf059895a25c3b1a07ea4d670b23fa5a18dfa9809fea64caf40f9822e,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase3_governance.json,ff6a17e96e496f1bc04296980d3965cb03bd0a713612da7014d5f09617df8f5d,ff6a17e96e496f1bc04296980d3965cb03bd0a713612da7014d5f09617df8f5d,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase4_trust_hn.json,25322f6b68927f267c98a7d017bca01a6ebe6debd434926b72dd6a2e844abb0d,25322f6b68927f267c98a7d017bca01a6ebe6debd434926b72dd6a2e844abb0d,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase4_governance.json,c34bc832c999dc69539088ad70a927a6278beb9db40426ee4c0f9b4f7bef7de1,c34bc832c999dc69539088ad70a927a6278beb9db40426ee4c0f9b4f7bef7de1,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase5_stress_tests.json,d96963f354f57b9cafc32427fd4ceefe652f7c351ef74fb19bc56efea3131598,d96963f354f57b9cafc32427fd4ceefe652f7c351ef74fb19bc56efea3131598,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase5_governance.json,51180c2a80731cab78fdd299b97efd7996033ccb965805727e5baee49c61bfdc,51180c2a80731cab78fdd299b97efd7996033ccb965805727e5baee49c61bfdc,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/models/residual_fusion.py,fb9606ec38f5624ae0e6f2945756fbb74df9cd27854edc58ac1285b10591570c,fb9606ec38f5624ae0e6f2945756fbb74df9cd27854edc58ac1285b10591570c,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/reliability/gating.py,a81286f2cfa8398655b29a926505fd8925e189d909445105f792bcfee4d834f7,a81286f2cfa8398655b29a926505fd8925e189d909445105f792bcfee4d834f7,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/reliability/ablations.py,b3fe394d0e58d4ac8a12577fbdb517cdbc771ce2abf340be29966ef974bf608b,b3fe394d0e58d4ac8a12577fbdb517cdbc771ce2abf340be29966ef974bf608b,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/evaluation/phase4.py,08cb46ac3bcdc9aa225afa029ca453322e3fe97c3d394a1a43aa0f72429f501b,08cb46ac3bcdc9aa225afa029ca453322e3fe97c3d394a1a43aa0f72429f501b,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/evaluation/phase5.py,7e386e806601f906cc9e82810b5a5348573e522ab7ee309e2410b1494970ef5b,7e386e806601f906cc9e82810b5a5348573e522ab7ee309e2410b1494970ef5b,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,scripts/run_phase5.py,229306173a94070043d428fa8f747d82ebfb33f60199d1ee0f3985f9eb210c0e,229306173a94070043d428fa8f747d82ebfb33f60199d1ee0f3985f9eb210c0e,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase6_evaluation.json,dc1c3a318dfb2fda4b1d6f8409f59b70b9f7f5d3719e1002a694839396600c03,dc1c3a318dfb2fda4b1d6f8409f59b70b9f7f5d3719e1002a694839396600c03,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,configs/phase6_governance.json,c895fb7517a0d7d68c6ef94e0467ebd6176a883480b73207c26a64b42137a549,c895fb7517a0d7d68c6ef94e0467ebd6176a883480b73207c26a64b42137a549,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/data/radcure_rds.py,e308278000c05c5db71fb2ae38d82472f79e6e7431741717556c2365282c9cec,e308278000c05c5db71fb2ae38d82472f79e6e7431741717556c2365282c9cec,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/data/phase6_data.py,0aa2aa3b791a177ce075d2f2df9de86ec22968d6b2a94ff6caa843399737fa2a,0aa2aa3b791a177ce075d2f2df9de86ec22968d6b2a94ff6caa843399737fa2a,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/evaluation/phase6.py,d976bb7677edda04840caf17b0913acbb4002a3fd11cd7e4c80a5b9e37cd6baa,d976bb7677edda04840caf17b0913acbb4002a3fd11cd7e4c80a5b9e37cd6baa,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/evaluation/phase6_runner.py,7ed413d2113ff333189f4100b1f0956a12020517d04ba1d7d09ec3ace6ab823e,7ed413d2113ff333189f4100b1f0956a12020517d04ba1d7d09ec3ace6ab823e,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,src/trust_hn/phase6_governance.py,92849b309d39bbfabf3b6b5c05fee6a107ff39e3dc84570347eea6bcac77080c,92849b309d39bbfabf3b6b5c05fee6a107ff39e3dc84570347eea6bcac77080c,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,scripts/audit_radcure_rds.py,3ab6af29c53b5fccefdbe4d4316773b6874ef8eda928d77e7c893bea13d1ecf7,3ab6af29c53b5fccefdbe4d4316773b6874ef8eda928d77e7c893bea13d1ecf7,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,scripts/run_phase6.py,5014dbe3830b54071b1e25588f18c67b68721ea3e424b016afb8e72afddb0011,5014dbe3830b54071b1e25588f18c67b68721ea3e424b016afb8e72afddb0011,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,tests/test_radcure_rds.py,b9565103daff569ef51fa70617c166908db375e96fb61b76959b8b83000453d6,b9565103daff569ef51fa70617c166908db375e96fb61b76959b8b83000453d6,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,tests/test_phase6_data.py,a2a2de6baae043e4af475abe597f256b962d1e07a48c80842941ddb51f2d8a73,a2a2de6baae043e4af475abe597f256b962d1e07a48c80842941ddb51f2d8a73,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,tests/test_phase6_statistics.py,7d304b7dfd5335045f215239d281d56b80f17d9d2ba24367dea2f5d098029bb1,7d304b7dfd5335045f215239d281d56b80f17d9d2ba24367dea2f5d098029bb1,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,tests/test_phase6_governance.py,a9dad24c47588491f71b6ff0fb878396943375045bfcda696bfe3c8f35e75837,a9dad24c47588491f71b6ff0fb878396943375045bfcda696bfe3c8f35e75837,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,tests/test_phase6_runner.py,38b60f625f19ef22c000029fce96116804913d6fb15a563942960c151a3ebb89,38b60f625f19ef22c000029fce96116804913d6fb15a563942960c151a3ebb89,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,pyproject.toml,b6ed73952402fe6dcf4a8ea70260a0674e53a1da5c9dc6d5b4e9e8bb8b74373f,b6ed73952402fe6dcf4a8ea70260a0674e53a1da5c9dc6d5b4e9e8bb8b74373f,MATCH,
current_analysis_freeze,configs/analysis_freeze.yaml,environment.yml,3b6a7b19fa9f9e33f00d56d22f2ce2dc96d0fd6474692b96164e4714648032a0,3b6a7b19fa9f9e33f00d56d22f2ce2dc96d0fd6474692b96164e4714648032a0,MATCH,
