cohort,model,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B2,0.05,0.11196205156897404,0.10054616290868884,0.0
RADCURE,B2,0.1,0.0755716818437532,0.05057650529250489,0.0
RADCURE,B2,0.15,0.0560172524780181,-0.005271935572641884,0.0
RADCURE,B2,0.2,0.04705398685512365,-0.06810143154593198,0.0
RADCURE,B2,0.25,0.02655187363563187,-0.13930819364899408,0.0
RADCURE,B2,0.3,0.0124971135230273,-0.220687350338208,0.0
RADCURE,B2,0.35,0.009802332358799126,-0.3145863772873009,0.0
RADCURE,B2,0.4,0.005306031288546098,-0.42413524206124265,0.0
RADCURE,B2,0.45,0.0011483843985262594,-0.5536020822486283,0.0
RADCURE,B2,0.5,-0.0048058738243064855,-0.7089622904734911,0.0
RADCURE,B6,0.05,0.11061469786286102,0.10054616290868884,0.0
RADCURE,B6,0.1,0.08251682660542836,0.05057650529250489,0.0
RADCURE,B6,0.15,0.0691252102183738,-0.005271935572641884,0.0
RADCURE,B6,0.2,0.06466943822466584,-0.06810143154593198,0.0
RADCURE,B6,0.25,0.047883661698238884,-0.13930819364899408,0.0
RADCURE,B6,0.3,0.0380760799906384,-0.220687350338208,0.0
RADCURE,B6,0.35,0.03180309511623316,-0.3145863772873009,0.0
RADCURE,B6,0.4,0.022879630527500607,-0.42413524206124265,0.0
RADCURE,B6,0.45,0.011159874135837149,-0.5536020822486283,0.0
RADCURE,B6,0.5,0.012769480295833127,-0.7089622904734911,0.0
RADCURE,B7,0.05,0.08926011269189263,0.07728705595143237,0.0
RADCURE,B7,0.1,0.05837005990542276,0.026025225726511933,0.0
RADCURE,B7,0.15,0.048097274815950414,-0.03126740805428149,0.0
RADCURE,B7,0.2,0.04577054203723584,-0.09572162105767407,0.0
RADCURE,B7,0.25,0.027351637225767167,-0.16876972912818564,0.0
RADCURE,B7,0.3,0.01757632975602157,-0.25225328120877044,0.0
RADCURE,B7,0.35,0.013411899819879627,-0.34858045668636806,0.0
RADCURE,B7,0.4,0.006832309647952716,-0.46096216141023216,0.0
RADCURE,B7,0.45,0.004657109916670917,-0.5937769033566168,0.0
RADCURE,B7,0.5,0.005133626518013282,-0.7531545936922786,0.0
HANCOCK,B2,0.05,0.1471262095768612,0.14469059535131312,0.0
HANCOCK,B2,0.1,0.10986948883555107,0.09717340620416386,0.0
HANCOCK,B2,0.15,0.085827632912515,0.04406595951029113,0.0
HANCOCK,B2,0.2,0.019688081979714535,-0.015679918020315653,0.0
HANCOCK,B2,0.25,0.011796647469521047,-0.08339191255500336,0.0
HANCOCK,B2,0.3,0.004172409500478813,-0.16077704916607508,0.0
HANCOCK,B2,0.35,0.00587442937638318,-0.2500675914096192,0.0
HANCOCK,B2,0.4,0.003784229528781326,-0.3542398906937543,0.0
HANCOCK,B2,0.45,0.007983631040781413,-0.47735260802954993,0.0
HANCOCK,B2,0.5,0.014653268736310957,-0.625087868832505,0.0
HANCOCK,B6,0.05,0.1509875787690099,0.14469059535131312,0.0
HANCOCK,B6,0.1,0.12645738116000435,0.09717340620416386,0.0
HANCOCK,B6,0.15,0.12174152388002729,0.04406595951029113,0.0
HANCOCK,B6,0.2,0.09804943377768552,-0.015679918020315653,0.0
HANCOCK,B6,0.25,0.08953756481145167,-0.08339191255500336,0.0
HANCOCK,B6,0.3,0.07122017854324549,-0.16077704916607508,0.0
HANCOCK,B6,0.35,0.05168413563500489,-0.2500675914096192,0.0
HANCOCK,B6,0.4,0.04807386016034783,-0.3542398906937543,0.0
HANCOCK,B6,0.45,0.037185147434234525,-0.47735260802954993,0.0
HANCOCK,B6,0.5,0.02848484224313206,-0.625087868832505,0.0
HANCOCK,B7,0.05,0.09966237553689816,0.0931372344280493,0.0
HANCOCK,B7,0.1,0.0841822403953783,0.04275596967405204,0.0
HANCOCK,B7,0.15,0.060037936575743384,-0.013552502698062546,0.0
HANCOCK,B7,0.2,0.015326058224714171,-0.07689953411669145,0.0
HANCOCK,B7,0.25,0.018604022430159614,-0.14869283639113753,0.0
HANCOCK,B7,0.3,0.007776724430760924,-0.23074232470479025,0.0
HANCOCK,B7,0.35,0.0,-0.3254148112205433,0.0
HANCOCK,B7,0.4,0.0,-0.43586604548892205,0.0
