row_type,assay,cohort,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,reference_assay,control_assay,metric,point_estimate,comparison_n,estimate_bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
assay_metric,original,RADCURE,B2,626.0,1.0,626.0,110.0,491.2222459459066,0.10906156078254249,0.7012448873885941,0.707818863401655,0.7144782261106698,-0.14089028784962776,1.4004603457337959,0.2046407966806739,,,,,,,,,
assay_metric,original,RADCURE,B4,626.0,1.0,626.0,110.0,491.2222459459066,0.10532156985839532,0.7258122131132901,0.7372750192111348,0.7460786012035416,-0.13497679004915628,1.928779517651314,0.2012202222538524,,,,,,,,,
assay_metric,original,RADCURE,B5,626.0,1.0,626.0,110.0,491.2222459459066,0.09740279843752875,0.7688117308757078,0.7792430372530985,0.7878818658646354,-0.07451972449254379,1.4715444353327172,0.18894018436925425,,,,,,,,,
assay_metric,original,RADCURE,B6,626.0,1.0,626.0,110.0,491.2222459459066,0.09804498586486762,0.7635964207254996,0.7740270491820708,0.7837702203893981,-0.1432519016195859,1.3950764379880332,0.19928432023714468,,,,,,,,,
assay_metric,original,RADCURE,B7,626.0,0.9329073482428115,584.0,89.0,455.15826509320743,0.09134607707998169,0.7456827023436758,0.7567385934675357,0.7601507612287439,-0.19306860739829096,1.473299051639768,0.1801578983791946,,,,,,,,,
assay_metric,shuffled_full,RADCURE,B2,626.0,1.0,626.0,110.0,491.2222459459066,0.10906156078254249,0.7012448873885941,0.707818863401655,0.7144782261106698,-0.14089028784962776,1.4004603457337959,0.2046407966806739,,,,,,,,,
assay_metric,shuffled_full,RADCURE,B4,626.0,1.0,626.0,110.0,491.2222459459066,0.1044090419331888,0.7163996499312365,0.7276396247683398,0.7313858253975207,-0.10124256728270999,1.5028172903897312,0.19390680936516738,,,,,,,,,
assay_metric,shuffled_full,RADCURE,B5,626.0,1.0,626.0,110.0,491.2222459459066,0.09806544374335614,0.765025272821447,0.7766884816945702,0.7823071455614656,-0.08248539857817047,1.3493867392598156,0.1888095727058533,,,,,,,,,
assay_metric,shuffled_full,RADCURE,B6,626.0,1.0,626.0,110.0,491.2222459459066,0.09680622139642008,0.7682223293861294,0.7805443234338705,0.7879258982915518,-0.12636127157919969,1.3195114686414142,0.19502492496528454,,,,,,,,,
assay_metric,shuffled_full,RADCURE,B7,626.0,0.9329073482428115,584.0,89.0,455.15826509320743,0.09264360455448223,0.743310560774267,0.7558944869093611,0.7597909471601484,-0.13259441301597086,1.4270672283375012,0.17236543713419547,,,,,,,,,
assay_metric,randomized_sampled_full,RADCURE,B2,626.0,1.0,626.0,110.0,491.2222459459066,0.10906156078254249,0.7012448873885941,0.707818863401655,0.7144782261106698,-0.14089028784962776,1.4004603457337959,0.2046407966806739,,,,,,,,,
assay_metric,randomized_sampled_full,RADCURE,B4,626.0,1.0,626.0,110.0,491.2222459459066,0.10557722386292369,0.71413134722892,0.7227475887068148,0.7276171750683119,-0.09642150041423907,1.2777905117010175,0.1929075607025402,,,,,,,,,
assay_metric,randomized_sampled_full,RADCURE,B5,626.0,1.0,626.0,110.0,491.2222459459066,0.09858634927497563,0.7635785600743004,0.7749600653003462,0.7802465221479049,-0.0680498844367863,1.2849988432970205,0.18678619263044163,,,,,,,,,
assay_metric,randomized_sampled_full,RADCURE,B6,626.0,1.0,626.0,110.0,491.2222459459066,0.09741389017396895,0.7659183053814143,0.7776890781849694,0.7849842378492011,-0.116802913777466,1.284543919782105,0.19365657787205195,,,,,,,,,
assay_metric,randomized_sampled_full,RADCURE,B7,626.0,0.9329073482428115,584.0,89.0,455.15826509320743,0.09160717942469315,0.7448524527943827,0.7569151726943898,0.7612129844897159,-0.09954568735394101,1.5684433492979921,0.16840973986285726,,,,,,,,,
paired_difference,,,B4,,,,,,,,,,,,,original,shuffled_full,difference_ipcw_brier,0.0009125279252065188,626.0,0.0008712350099925464,-0.0019505558711687542,0.0036611374757702427,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,shuffled_full,difference_harrell_c,0.009412563182053635,626.0,0.009370782004210598,-0.01780965373651206,0.03584588834058411,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,shuffled_full,difference_uno_c,0.009635394442795042,626.0,0.009350283818262917,-0.019137513782335375,0.038522556205726755,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,shuffled_full,difference_auc_horizon,0.014692775806020908,626.0,0.014762598280744443,-0.017609662266189686,0.04851353282422002,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,shuffled_full,difference_ipcw_brier,-0.0006626453058273946,626.0,-0.0007021426152843194,-0.0032234497148430933,0.0017502649930211751,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,shuffled_full,difference_harrell_c,0.0037864580542606996,626.0,0.003949179241902134,-0.008940660126161829,0.017317019470179263,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,shuffled_full,difference_uno_c,0.0025545555585283486,626.0,0.002592792644316888,-0.010810886741255835,0.016033492658682785,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,shuffled_full,difference_auc_horizon,0.0055747203031697445,626.0,0.0055925629103466545,-0.009168774787999531,0.021293073419128453,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,shuffled_full,difference_ipcw_brier,0.001238764468447548,626.0,0.0011890432213900598,-0.0010513754203377243,0.003339783880291789,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,shuffled_full,difference_harrell_c,-0.0046259086606298405,626.0,-0.004519503373316747,-0.013813005667664146,0.004939749660576864,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,shuffled_full,difference_uno_c,-0.0065172742517997095,626.0,-0.006406473620160058,-0.01656990114061055,0.003332731810444093,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,shuffled_full,difference_auc_horizon,-0.004155677902153654,626.0,-0.004036327380244009,-0.015343987688834795,0.006498567033112151,2000.0
paired_difference,,,B7,,,,,,,,,,,,,original,shuffled_full,difference_ipcw_brier,-0.0012975274745005427,584.0,-0.0012475726050188568,-0.0036570807567707945,0.0007794150229998376,2000.0
paired_difference,,,B7,,,,,,,,,,,,,original,shuffled_full,difference_harrell_c,0.002372141569408792,584.0,0.0025646239624378397,-0.008967961325521346,0.013751736256591951,2000.0
paired_difference,,,B7,,,,,,,,,,,,,original,shuffled_full,difference_uno_c,0.0008441065581745733,584.0,0.0009218381124346253,-0.011354482105132884,0.013566820334105379,2000.0
paired_difference,,,B7,,,,,,,,,,,,,original,shuffled_full,difference_auc_horizon,0.000359814068595532,584.0,0.00040956968686073347,-0.013631137293826428,0.01383655906810069,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,randomized_sampled_full,difference_ipcw_brier,-0.0002556540045283717,626.0,-0.00024200638375085348,-0.00391251988395211,0.003364096300082483,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,randomized_sampled_full,difference_harrell_c,0.011680865884370117,626.0,0.011897399853116386,-0.017838527866727873,0.03795031680097428,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,randomized_sampled_full,difference_uno_c,0.014527430504320038,626.0,0.014762661556261436,-0.01889774642305197,0.04306226518941796,2000.0
paired_difference,,,B4,,,,,,,,,,,,,original,randomized_sampled_full,difference_auc_horizon,0.01846142613522972,626.0,0.01897561637823819,-0.01693143867445015,0.050502345352484206,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,randomized_sampled_full,difference_ipcw_brier,-0.0011835508374468812,626.0,-0.0012351156691686738,-0.004198317551570189,0.0016608927564916995,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,randomized_sampled_full,difference_harrell_c,0.005233170801407394,626.0,0.0053817118191581415,-0.00864086360393762,0.018892208494591264,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,randomized_sampled_full,difference_uno_c,0.00428297195275229,626.0,0.004466741564658705,-0.010817940982767171,0.01883937320168074,2000.0
paired_difference,,,B5,,,,,,,,,,,,,original,randomized_sampled_full,difference_auc_horizon,0.007635343716730469,626.0,0.007835328446574197,-0.008649723632995196,0.023653877314420417,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,randomized_sampled_full,difference_ipcw_brier,0.0006310956908986698,626.0,0.0006173752259574158,-0.0019995114962572907,0.003064707091033112,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,randomized_sampled_full,difference_harrell_c,-0.002321884655914652,626.0,-0.0023826468253967392,-0.013566257853875857,0.008546410902905654,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,randomized_sampled_full,difference_uno_c,-0.0036620290028985814,626.0,-0.0038026589655623666,-0.015674249250967158,0.0078227072663895,2000.0
paired_difference,,,B6,,,,,,,,,,,,,original,randomized_sampled_full,difference_auc_horizon,-0.0012140174598029851,626.0,-0.0010556660192734824,-0.014572194534640565,0.011935152735429128,2000.0
paired_difference,,,B7,,,,,,,,,,,,,original,randomized_sampled_full,difference_ipcw_brier,-0.00026110234471146687,584.0,-0.0002302059001843132,-0.0028570207210165412,0.002376223845019995,2000.0
paired_difference,,,B7,,,,,,,,,,,,,original,randomized_sampled_full,difference_harrell_c,0.0008302495492931161,584.0,0.0008363476914183265,-0.013058276871684371,0.014031029910062782,2000.0
