candidate,alpha,effective_slope,parameter_source,ipcw_brier_raw,ipcw_brier_bridge,delta_ipcw_brier,citl_raw,citl_bridge,delta_citl,abs_citl_error_change,calibration_slope_raw,calibration_slope_bridge,delta_calibration_slope,abs_slope_error_change,n_evaluable,events_evaluable,mean_predicted_risk_raw,mean_predicted_risk_bridge,worst_supported_pattern_brier_regret,passes_global_brier_gate,passes_supported_pattern_gate,citl_absolute_error_improved,slope_absolute_error_improved,rank_preserved_risk,rank_preserved_score,coverage_preserved,all_predeclared_gates_pass
raw_v1r,0.0,1.0,U2_V1R_locked_confirmation,0.13469741883567712,0.13469741883567712,0.0,0.15675054842392067,0.1567505484225921,-1.3285761379933092e-12,-1.3285761379933092e-12,1.510335253002558,1.5103352286402474,-2.4362310613312843e-08,-2.4362310613312843e-08,120,26,0.18013644676904442,0.18013644676904442,0.0,True,True,True,True,True,True,True,True
U5R4_bounded_global_full_g0.25,-0.02863319431659357,0.978121925546798,research_studies/01_pattern_surv_hn/core_backbone/U5R4_V1R_bounded_global_bridge_candidate/selected_bridge_parameters.csv,0.13469741883567712,0.1348675614197315,0.00017014258405437244,0.15675054842392067,0.15478864556062463,-0.0019619028632960334,-0.0019619028632960334,1.510335253002558,1.544117585203624,0.03378233220106597,0.03378233220106597,120,26,0.18013644676904442,0.18024670354316932,0.00017014258405437244,True,True,True,False,True,True,True,False
U5R7_beta_0.900_logloss,-0.1450337985699547,0.9,research_studies/01_pattern_surv_hn/core_backbone/U5R7_V1R_beta09_logloss_bridge_candidate/selected_bridge_parameters.csv,0.13469741883567712,0.13578194779242755,0.0010845289567504302,0.15675054842392067,0.16094441769005133,0.004193869266130662,0.004193869266130662,1.510335253002558,1.6781502918245472,0.16781503882198923,0.16781503882198923,120,26,0.18013644676904442,0.17887973922491202,0.0010845289567504302,False,True,False,False,True,True,True,False
