study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
RADCURE,B0,17,303.0,119.0,302.74654266925387,0.16285595932132935,0.5,0.5,0.5,-0.016034079540539196,,0.2076433231181842
RADCURE,B0,29,303.0,119.0,302.74654266925387,0.16285595932132935,0.5,0.5,0.5,-0.016034079540539196,,0.2076433231181842
RADCURE,B0,43,303.0,119.0,302.74654266925387,0.16285595932132935,0.5,0.5,0.5,-0.016034079540539196,,0.2076433231181842
RADCURE,B0,71,303.0,119.0,302.74654266925387,0.16285595932132935,0.5,0.5,0.5,-0.016034079540539196,,0.2076433231181842
RADCURE,B0,101,303.0,119.0,302.74654266925387,0.16285595932132935,0.5,0.5,0.5,-0.016034079540539196,,0.2076433231181842
RADCURE,B1,17,303.0,119.0,302.74654266925387,0.13944146791267598,0.7348318851530034,0.767531227679485,0.7907656576497344,0.09145587889966375,0.7791794583944733,0.1932513343133762
RADCURE,B1,29,303.0,119.0,302.74654266925387,0.13944146791267598,0.7348318851530034,0.767531227679485,0.7907656576497344,0.09145587889966375,0.7791794583944733,0.1932513343133762
RADCURE,B1,43,303.0,119.0,302.74654266925387,0.13944146791267598,0.7348318851530034,0.767531227679485,0.7907656576497344,0.09145587889966375,0.7791794583944733,0.1932513343133762
RADCURE,B1,71,303.0,119.0,302.74654266925387,0.13944146791267598,0.7348318851530034,0.767531227679485,0.7907656576497344,0.09145587889966375,0.7791794583944733,0.1932513343133762
RADCURE,B1,101,303.0,119.0,302.74654266925387,0.13944146791267598,0.7348318851530034,0.767531227679485,0.7907656576497344,0.09145587889966375,0.7791794583944733,0.1932513343133762
RADCURE,B2,17,303.0,119.0,302.74654266925387,0.1430753832166621,0.7328296184359653,0.7356581182294516,0.7608816899788455,-0.021670364531443744,1.7311663775167627,0.20834213671290994
RADCURE,B2,29,303.0,119.0,302.74654266925387,0.1430753832166621,0.7328296184359653,0.7356581182294516,0.7608816899788455,-0.021670364531443744,1.7311663775167627,0.20834213671290994
RADCURE,B2,43,303.0,119.0,302.74654266925387,0.1430753832166621,0.7328296184359653,0.7356581182294516,0.7608816899788455,-0.021670364531443744,1.7311663775167627,0.20834213671290994
