study,model,partition,ipcw_brier_mean,harrell_c_mean,uno_c_mean,auc_horizon_mean,calibration_in_the_large_mean,calibration_slope_mean,mean_predicted_risk_mean,ipcw_brier_sd,harrell_c_sd,uno_c_sd,auc_horizon_sd,calibration_in_the_large_sd,calibration_slope_sd,mean_predicted_risk_sd,successful_seeds
HANCOCK,B0,calibration,0.15115253295774686,0.5,0.5,0.5,0.37547849094348,,0.13336489040569388,0.0,0.0,0.0,0.0,0.0,,0.0,5
HANCOCK,B0,oof,0.11578104643364204,0.49120107404729935,0.4441527527392474,0.4433849723990469,-0.0013551966745429743,-4.001592617244042,0.13336019246026729,0.00026260354689920223,0.016875838838260302,0.02779741176336876,0.024919903116056106,0.0012558494975661808,0.1761058579007643,1.5112988187948134e-05,5
HANCOCK,B1,calibration,0.15383689063748554,0.5162495330593948,0.5798342166396399,0.6110580845471913,0.4528744244771998,0.18062438753058077,0.138969847114006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
HANCOCK,B1,oof,0.10894645557767849,0.6175462150160074,0.6608449133137175,0.6724077550939889,-0.007027152628735639,0.33362509144011526,0.13674055732484527,0.002564179537728756,0.006986272675526796,0.012922657621954088,0.009173695812933156,0.02563891816755688,0.027900397863496382,0.001512864759018918,5
HANCOCK,B2,calibration,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
HANCOCK,B2,oof,0.11094939989525528,0.6644041102963957,0.7082107626663539,0.7264719335294403,-0.015275669224129585,1.296858441408324,0.13622684580713554,0.001207680098134307,0.010307432426728894,0.005727558264994489,0.005365286717295382,0.006175177940027218,0.2574999655809424,0.0005571913958696213,5
HANCOCK,B3,calibration,0.14055380559974956,0.647291744490101,0.6739494990277352,0.710029166579351,0.372248601954435,1.394004474341497,0.141235831746956,0.0009670862583296856,0.008043965083083512,0.008106656197331525,0.012327788836662915,0.007276680646206693,0.14230707668762058,0.000837108289546961,5
HANCOCK,B3,oof,0.10368964801842043,0.6893808736961685,0.7446863844473752,0.7722323603384333,0.01876652917606758,1.688413907009939,0.13285041900730005,0.0004697318109761589,0.012145988137645225,0.009908585447987703,0.011313869202927339,0.007181742160253566,0.06690271196880615,0.0008018551752001155,5
HANCOCK,B4,calibration,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651766,0.1426940476072896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
HANCOCK,B4,oof,0.10791073864028386,0.6421021377672209,0.678946268992335,0.696795054231366,-0.0009278387140457504,1.4301458447723738,0.13602150871059343,0.0008907166001576282,0.003202884469007254,0.00521389949034248,0.0061120409831611315,0.006747198854266978,0.09915887712429489,0.0009779516796534799,5
HANCOCK,B5,calibration,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
HANCOCK,B5,oof,0.10517864786184794,0.6789269854383971,0.7266102015374006,0.7472779354950057,-0.014026737645855058,1.2845306276628,0.13787306094834664,0.0009608312601639605,0.009896253971920848,0.011364461596906439,0.012343629954960397,0.010847412046905284,0.08449945885184036,0.0012593802729795767,5
HANCOCK,M0,calibration,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
HANCOCK,M0,oof,0.11518756388638837,0.5706263554683466,0.6016757486675257,0.6071843857215913,-0.0017774782258003206,2.3918495246191744,0.13340893851496677,0.00028060236987187176,0.006959298191453,0.008197923103093635,0.01026711426630011,0.0027986883880959353,3.3026405988592775,0.00018951504936474208,5
HANCOCK,N0,calibration,0.1512575527850674,0.5281285020545387,0.5289723776697138,0.5292136717771451,0.37672916146257496,0.6805119399775006,0.13311909162419067,0.0006870404089840649,0.036211621755305554,0.04099422966901809,0.05154747510983478,0.005314372664758479,1.6911125929486124,0.00035721313996557586,5
HANCOCK,N0,oof,0.11625726229288384,0.4903697201280595,0.48912509141181404,0.48570230564208455,-0.0003740203459383027,-0.82763175317021,0.133053972310831,0.0008252981019040417,0.023997671444439327,0.039119070417775785,0.04762700795328112,0.007425301582180205,1.2759105175198926,0.0006651514593647792,5
RADCURE,B0,calibration,0.16285595932132935,0.5,0.5,0.5,-0.016034079540539196,,0.20764332311818418,0.0,0.0,0.0,0.0,0.0,,0.0,5
RADCURE,B0,oof,0.1646895532220592,0.489702608980236,0.4769924280281992,0.47397398290470116,-3.5024047159529966e-05,-4.00603615814632,0.2076439473385679,0.00013150673719733699,0.005804183018572758,0.009994758135779214,0.011201085469667133,5.375024349294468e-05,0.11553143280675782,2.2824392581353434e-06,5
RADCURE,B1,calibration,0.13944146791267598,0.7348318851530034,0.767531227679485,0.7907656576497344,0.09145587889966375,0.7791794583944733,0.1932513343133762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
RADCURE,B1,oof,0.1384175711613081,0.7124208440462394,0.7425677767014545,0.76610259188638,0.00126247255512976,0.7308639210870851,0.2073827046235078,0.002332669032464284,0.014030524118258739,0.016271974633591146,0.017738052013342727,0.012105439892035,0.10871869683878346,0.0015239648603832085,5
RADCURE,B2,calibration,0.1430753832166621,0.7328296184359653,0.7356581182294516,0.7608816899788455,-0.021670364531443744,1.7311663775167627,0.20834213671290996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
RADCURE,B2,oof,0.14844728652582734,0.7044755476751406,0.7146019817845352,0.7423592568748021,-0.016266668430300345,1.5244671043618685,0.21027016699745144,0.000344515911134686,0.0006216370006075942,0.0014244140319278184,0.0020214663397127145,0.003912529687869209,0.017241931867043623,0.0005836086446244168,5
