study,model,seed,partition,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B0,71,calibration,0.15,0.06467249135157047,0.06452487496790937,0.0
RADCURE,B0,71,calibration,0.2,0.006266802863590271,0.0060576796534037025,0.0
RADCURE,B0,71,calibration,0.25,0.0,-0.060205141703036036,0.0
RADCURE,B0,71,calibration,0.3,0.0,-0.1359340803961101,0.0
RADCURE,B0,71,calibration,0.35,0.0,-0.22331362504196467,0.0
RADCURE,B0,71,calibration,0.4,0.0,-0.32525642712879516,0.0
RADCURE,B0,71,calibration,0.45,0.0,-0.4457342841405037,0.0
RADCURE,B0,71,calibration,0.5,0.0,-0.5903077125545542,0.0
RADCURE,B0,101,oof,0.05,0.16593645713446956,0.165936220030519,0.0
RADCURE,B0,101,oof,0.1,0.11959984391833232,0.11959934336554782,0.0
RADCURE,B0,101,oof,0.15,0.06781186444147308,0.06781106944587417,0.0
RADCURE,B0,101,oof,0.2,0.009550387530006421,0.009549261286241312,0.0
RADCURE,B0,101,oof,0.25,0.0,-0.056480787961342566,0.0
RADCURE,B0,101,oof,0.3,0.0,-0.1319437013871528,0.0
RADCURE,B0,101,oof,0.35,0.0,-0.21901629380154916,0.0
RADCURE,B0,101,oof,0.4,0.0,-0.3206009849516783,0.0
RADCURE,B0,101,oof,0.45,0.0,-0.4406556199472853,0.0
RADCURE,B0,101,oof,0.5,0.0,-0.584721181942014,0.0
RADCURE,B0,101,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B0,101,calibration,0.1,0.11658865889644177,0.11649571524746996,0.0
RADCURE,B0,101,calibration,0.15,0.06467249135157047,0.06452487496790937,0.0
RADCURE,B0,101,calibration,0.2,0.006266802863590271,0.0060576796534037025,0.0
RADCURE,B0,101,calibration,0.25,0.0,-0.060205141703036036,0.0
RADCURE,B0,101,calibration,0.3,0.0,-0.1359340803961101,0.0
RADCURE,B0,101,calibration,0.35,0.0,-0.22331362504196467,0.0
RADCURE,B0,101,calibration,0.4,0.0,-0.32525642712879516,0.0
RADCURE,B0,101,calibration,0.45,0.0,-0.4457342841405037,0.0
RADCURE,B0,101,calibration,0.5,0.0,-0.5903077125545542,0.0
RADCURE,B1,17,oof,0.05,0.17206329235996504,0.165936220030519,0.0
RADCURE,B1,17,oof,0.1,0.1442923267529838,0.11959934336554782,0.0
RADCURE,B1,17,oof,0.15,0.12194971119069654,0.06781106944587417,0.0
RADCURE,B1,17,oof,0.2,0.09321190053545023,0.009549261286241312,0.0
RADCURE,B1,17,oof,0.25,0.07048172035629571,-0.056480787961342566,0.0
RADCURE,B1,17,oof,0.3,0.055816086372970426,-0.1319437013871528,0.0
RADCURE,B1,17,oof,0.35,0.04155234969288806,-0.21901629380154916,0.0
RADCURE,B1,17,oof,0.4,0.02984885392641471,-0.3206009849516783,0.0
RADCURE,B1,17,oof,0.45,0.016772607082945937,-0.4406556199472853,0.0
RADCURE,B1,17,oof,0.5,0.004859110491947552,-0.584721181942014,0.0
RADCURE,B1,17,calibration,0.05,0.16478876437826154,0.16299594076076102,0.0
RADCURE,B1,17,calibration,0.1,0.15043100520035108,0.11649571524746996,0.0
RADCURE,B1,17,calibration,0.15,0.10776683594982582,0.06452487496790937,0.0
RADCURE,B1,17,calibration,0.2,0.0957190019015624,0.0060576796534037025,0.0
RADCURE,B1,17,calibration,0.25,0.06156841117500457,-0.060205141703036036,0.0
RADCURE,B1,17,calibration,0.3,0.043810152186305525,-0.1359340803961101,0.0
RADCURE,B1,17,calibration,0.35,0.04034721102803547,-0.22331362504196467,0.0
RADCURE,B1,17,calibration,0.4,0.018654690253925917,-0.32525642712879516,0.0
RADCURE,B1,17,calibration,0.45,0.01706277117755709,-0.4457342841405037,0.0
RADCURE,B1,17,calibration,0.5,0.0032509566112103525,-0.5903077125545542,0.0
RADCURE,B1,29,oof,0.05,0.16906993251395624,0.165936220030519,0.0
RADCURE,B1,29,oof,0.1,0.14648766115112602,0.11959934336554782,0.0
RADCURE,B1,29,oof,0.15,0.12010192653474847,0.06781106944587417,0.0
RADCURE,B1,29,oof,0.2,0.09897994878058813,0.009549261286241312,0.0
RADCURE,B1,29,oof,0.25,0.07982750475690097,-0.056480787961342566,0.0
RADCURE,B1,29,oof,0.3,0.06523431056685228,-0.1319437013871528,0.0
RADCURE,B1,29,oof,0.35,0.0489048850500794,-0.21901629380154916,0.0
RADCURE,B1,29,oof,0.4,0.033963494920722724,-0.3206009849516783,0.0
RADCURE,B1,29,oof,0.45,0.024106574746585605,-0.4406556199472853,0.0
RADCURE,B1,29,oof,0.5,0.010630242217728673,-0.584721181942014,0.0
RADCURE,B1,29,calibration,0.05,0.16478876437826154,0.16299594076076102,0.0
RADCURE,B1,29,calibration,0.1,0.15043100520035108,0.11649571524746996,0.0
RADCURE,B1,29,calibration,0.15,0.10776683594982582,0.06452487496790937,0.0
RADCURE,B1,29,calibration,0.2,0.0957190019015624,0.0060576796534037025,0.0
RADCURE,B1,29,calibration,0.25,0.06156841117500457,-0.060205141703036036,0.0
RADCURE,B1,29,calibration,0.3,0.043810152186305525,-0.1359340803961101,0.0
RADCURE,B1,29,calibration,0.35,0.04034721102803547,-0.22331362504196467,0.0
RADCURE,B1,29,calibration,0.4,0.018654690253925917,-0.32525642712879516,0.0
RADCURE,B1,29,calibration,0.45,0.01706277117755709,-0.4457342841405037,0.0
RADCURE,B1,29,calibration,0.5,0.0032509566112103525,-0.5903077125545542,0.0
RADCURE,B1,43,oof,0.05,0.16894051495029153,0.165936220030519,0.0
RADCURE,B1,43,oof,0.1,0.14008326029358603,0.11959934336554782,0.0
RADCURE,B1,43,oof,0.15,0.11681126111523066,0.06781106944587417,0.0
RADCURE,B1,43,oof,0.2,0.09238951383540787,0.009549261286241312,0.0
RADCURE,B1,43,oof,0.25,0.0704855145841475,-0.056480787961342566,0.0
RADCURE,B1,43,oof,0.3,0.05416681309957458,-0.1319437013871528,0.0
RADCURE,B1,43,oof,0.35,0.04656098907731462,-0.21901629380154916,0.0
RADCURE,B1,43,oof,0.4,0.0339712035659166,-0.3206009849516783,0.0
RADCURE,B1,43,oof,0.45,0.021485338519734484,-0.4406556199472853,0.0
RADCURE,B1,43,oof,0.5,0.015571309733489129,-0.584721181942014,0.0
RADCURE,B1,43,calibration,0.05,0.16478876437826154,0.16299594076076102,0.0
RADCURE,B1,43,calibration,0.1,0.15043100520035108,0.11649571524746996,0.0
RADCURE,B1,43,calibration,0.15,0.10776683594982582,0.06452487496790937,0.0
RADCURE,B1,43,calibration,0.2,0.0957190019015624,0.0060576796534037025,0.0
RADCURE,B1,43,calibration,0.25,0.06156841117500457,-0.060205141703036036,0.0
RADCURE,B1,43,calibration,0.3,0.043810152186305525,-0.1359340803961101,0.0
RADCURE,B1,43,calibration,0.35,0.04034721102803547,-0.22331362504196467,0.0
RADCURE,B1,43,calibration,0.4,0.018654690253925917,-0.32525642712879516,0.0
RADCURE,B1,43,calibration,0.45,0.01706277117755709,-0.4457342841405037,0.0
RADCURE,B1,43,calibration,0.5,0.0032509566112103525,-0.5903077125545542,0.0
RADCURE,B1,71,oof,0.05,0.16829037489936866,0.165936220030519,0.0
RADCURE,B1,71,oof,0.1,0.14411275229820036,0.11959934336554782,0.0
