study,split_role,variable,level,statistic,value,n_observed,n_missing,percent_observed
RADCURE,sealed_test,treatment,ChemoRT,count_percent_observed,270,626,0,43.13099041533546
RADCURE,sealed_test,treatment,RT + EGFRI,count_percent_observed,6,626,0,0.9584664536741214
RADCURE,sealed_test,treatment,RT alone,count_percent_observed,350,626,0,55.91054313099041
RADCURE,sealed_test,smoking,Current,count_percent_observed,238,626,0,38.019169329073485
RADCURE,sealed_test,smoking,Ex-smoker,count_percent_observed,217,626,0,34.66453674121406
RADCURE,sealed_test,smoking,Non-smoker,count_percent_observed,162,626,0,25.878594249201278
RADCURE,sealed_test,smoking,unknown,count_percent_observed,9,626,0,1.4376996805111821
RADCURE,train,age,,mean,63.340329218106994,1215,0,
RADCURE,train,age,,sd,10.805471944540157,1215,0,
RADCURE,train,age,,median,62.9,1215,0,
RADCURE,train,age,,q1,55.650000000000006,1215,0,
RADCURE,train,age,,q3,70.85,1215,0,
RADCURE,train,sex,Female,count_percent_observed,218,1215,0,17.94238683127572
RADCURE,train,sex,Male,count_percent_observed,997,1215,0,82.05761316872427
RADCURE,train,site,Hypopharynx,count_percent_observed,93,1215,0,7.654320987654321
RADCURE,train,site,Larynx,count_percent_observed,420,1215,0,34.5679012345679
RADCURE,train,site,Lip & Oral Cavity,count_percent_observed,53,1215,0,4.362139917695473
RADCURE,train,site,Nasal Cavity,count_percent_observed,1,1215,0,0.0823045267489712
RADCURE,train,site,Oropharynx,count_percent_observed,611,1215,0,50.288065843621396
RADCURE,train,site,Paranasal Sinus,count_percent_observed,7,1215,0,0.5761316872427984
RADCURE,train,site,esophagus,count_percent_observed,9,1215,0,0.7407407407407407
RADCURE,train,site,nasal cavity,count_percent_observed,21,1215,0,1.728395061728395
RADCURE,train,stage,0,count_percent_observed,1,1215,0,0.0823045267489712
RADCURE,train,stage,I,count_percent_observed,166,1215,0,13.662551440329219
RADCURE,train,stage,II,count_percent_observed,155,1215,0,12.757201646090534
RADCURE,train,stage,III,count_percent_observed,197,1215,0,16.213991769547324
RADCURE,train,stage,IIIA,count_percent_observed,1,1215,0,0.0823045267489712
RADCURE,train,stage,IIIC,count_percent_observed,1,1215,0,0.0823045267489712
