candidate,gamma,delta_ipcw_brier,worst_supported_pattern_regret,abs_citl_error_deterioration,abs_slope_error_deterioration,kendall_tau,patients_with_changed_rank,passes_brier,passes_pattern,passes_citl_safety,passes_slope_safety
anchor_blend_g0.00,0.0,0.0005078142227883109,0.001070140470002784,0.013154969515640162,-0.10436661522977753,0.6916091417651413,2456,True,True,True,True
anchor_blend_g0.10,0.1,0.00026562177102515405,0.0007457385705886832,0.014730769422469293,-0.11990045778152181,0.7280010051015515,2450,True,True,True,True
anchor_blend_g0.25,0.25,-1.70428769621922e-05,0.00038123671379985957,0.015816183575019672,-0.1291080211541782,0.7807787553272034,2453,True,True,True,True
anchor_blend_g0.50,0.5,-0.0002722264379664274,4.37513238096543e-05,0.014326268323875097,-0.11182551017411946,0.8628975358480709,2449,True,True,True,True
anchor_blend_g0.75,0.75,-0.00026262330126844424,-5.563700674715566e-05,0.008950743335246883,-0.06380652199131598,0.9364306331147898,2427,True,True,True,True
anchor_blend_g1.00,1.0,0.0,2.7755575615628914e-17,-1.3719945318735327e-12,1.1102230246251565e-16,0.9999999999999999,0,True,True,True,True
