candidate,gamma,seed,outer_fold,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
anchor_blend_g0.00,0.0,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184967522,-9.707512571566213e-13,1.1786832967737033,1.1786832967737044,1.1102230246251565e-15,96,18
anchor_blend_g0.10,0.1,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184967522,-9.707512571566213e-13,1.1786832967737033,1.1786832967737044,1.1102230246251565e-15,96,18
anchor_blend_g0.25,0.25,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184967522,-9.707512571566213e-13,1.1786832967737033,1.1786832967737042,8.881784197001252e-16,96,18
anchor_blend_g0.50,0.5,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184966131,-9.846568005400513e-13,1.1786832967737033,1.1786832967737042,8.881784197001252e-16,96,18
anchor_blend_g0.75,0.75,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184966592,-9.80049374987857e-13,1.1786832967737033,1.1786832967737042,8.881784197001252e-16,96,18
anchor_blend_g1.00,1.0,17,0,0.1367038757967255,0.1367038757967255,0.0,0.15681818185064597,0.15681818184869756,-1.948413652641534e-12,1.1786832967737033,1.178683296773703,-2.220446049250313e-16,96,18
anchor_blend_g0.00,0.0,17,1,0.11663494349976604,0.11810160850972579,0.0014666650099597472,-0.1841195718701297,-0.15110087869911212,-0.03301869317101758,0.717666554250058,0.6491377856422279,0.06852876860783008,95,14
anchor_blend_g0.10,0.1,17,1,0.11663494349976604,0.1177266309830796,0.0010916874833135637,-0.1841195718701297,-0.15101376965747848,-0.03310580221265122,0.717666554250058,0.7096462555954484,0.008020298654609626,95,14
anchor_blend_g0.25,0.25,17,1,0.11663494349976604,0.11724763951006616,0.0006126960103001178,-0.1841195718701297,-0.15228249420220596,-0.031837077667923736,0.717666554250058,0.7718867418288218,-0.05422018757876379,95,14
anchor_blend_g0.50,0.5,17,1,0.11663494349976604,0.1166911294437687,5.6185944002667965e-05,-0.1841195718701297,-0.1581646395955896,-0.0259549322745401,0.717666554250058,0.8056803492522756,-0.08801379500221762,95,14
anchor_blend_g0.75,0.75,17,1,0.11663494349976604,0.11647221960163474,-0.00016272389813129506,-0.1841195718701297,-0.1687826387832993,-0.015336933086830401,0.717666554250058,0.7760085150196427,-0.058341960769584755,95,14
anchor_blend_g1.00,1.0,17,1,0.11663494349976604,0.11663494349976604,0.0,-0.1841195718701297,-0.1841195718701297,0.0,0.717666554250058,0.717666554250058,0.0,95,14
anchor_blend_g0.00,0.0,17,2,0.11454584388648568,0.12106372858767661,0.006517884701190926,-0.1443776966255575,-0.10616583477319406,-0.03821186185236343,1.5505068334020167,1.180167022862314,-0.37033981053970266,105,16
anchor_blend_g0.10,0.1,17,2,0.11454584388648568,0.12023278843388431,0.005686944547398626,-0.1443776966255575,-0.1055057488905909,-0.03887194773496659,1.5505068334020167,1.7197607181416923,0.16925388473967562,105,16
anchor_blend_g0.25,0.25,17,2,0.11454584388648568,0.1190457081742386,0.004499864287752911,-0.1443776966255575,-0.10637902209258772,-0.037998674532969776,1.5505068334020167,2.1446161464104887,0.594109313008472,105,16
anchor_blend_g0.50,0.5,17,2,0.11454584388648568,0.11724670341865398,0.0027008595321682954,-0.1443776966255575,-0.11283724726612612,-0.03154044935943137,1.5505068334020167,2.1393969869729683,0.5888901535709516,105,16
anchor_blend_g0.75,0.75,17,2,0.11454584388648568,0.11572187991707093,0.001176036030585248,-0.1443776966255575,-0.12553884569639875,-0.01883885092915874,1.5505068334020167,1.844288974431508,0.2937821410294914,105,16
anchor_blend_g1.00,1.0,17,2,0.11454584388648568,0.11454584388648567,-1.3877787807814457e-17,-0.1443776966255575,-0.14437769662683725,1.279754080485418e-12,1.5505068334020167,1.550506833402017,2.220446049250313e-16,105,16
anchor_blend_g0.00,0.0,17,3,0.11736647687204238,0.12473470534506974,0.007368228473027358,-0.08634133955648575,-0.05723790024928666,-0.029103439307199087,2.36224069563968,1.960687765007861,-0.40155293063181907,99,16
anchor_blend_g0.10,0.1,17,3,0.11736647687204238,0.12393822572924704,0.006571748857204657,-0.08634133955648575,-0.058228388335769175,-0.028112951220716574,2.36224069563968,2.1848343350744637,-0.1774063605652163,99,16
anchor_blend_g0.25,0.25,17,3,0.11736647687204238,0.12276283958399838,0.005396362711955996,-0.08634133955648575,-0.06051639589226578,-0.025824943664219967,2.36224069563968,2.4353025028823585,0.07306180724267852,99,16
anchor_blend_g0.50,0.5,17,3,0.11736647687204238,0.12086393161194409,0.0034974547399017064,-0.08634133955648575,-0.0664700651297742,-0.01987127442671155,2.36224069563968,2.6068170182402564,0.24457632260057638,99,16
anchor_blend_g0.75,0.75,17,3,0.11736647687204238,0.11905721908942181,0.001690742217379429,-0.08634133955648575,-0.07508829813351746,-0.01125304142296829,2.36224069563968,2.5408071092647457,0.17856641362506576,99,16
anchor_blend_g1.00,1.0,17,3,0.11736647687204238,0.1173664768720424,1.3877787807814457e-17,-0.08634133955648575,-0.08634133955648135,-4.399258735077183e-15,2.36224069563968,2.3622406956396804,4.440892098500626e-16,99,16
anchor_blend_g0.00,0.0,17,4,0.14606029689061706,0.14202727579652266,-0.004033021094094397,0.34210755585406155,0.33454647744155896,-0.0075610784125025865,0.5379175787344588,0.8164469735088812,-0.2785293947744224,97,19
anchor_blend_g0.10,0.1,17,4,0.14606029689061706,0.14231418252900588,-0.0037461143616111803,0.34210755585406155,0.3372685677131713,-0.0048389881408902324,0.5379175787344588,0.7962984502525954,-0.2583808715181366,97,19
anchor_blend_g0.25,0.25,17,4,0.14606029689061706,0.14279393969009724,-0.0032663572005198205,0.34210755585406155,0.34051332720409067,-0.0015942286499708858,0.5379175787344588,0.7597661718931814,-0.22184859315872263,97,19
anchor_blend_g0.50,0.5,17,4,0.14606029689061706,0.14372364972462348,-0.0023366471659935772,0.34210755585406155,0.34371674413979686,0.001609188285735308,0.5379175787344588,0.6901940581182697,-0.15227647938381095,97,19
anchor_blend_g0.75,0.75,17,4,0.14606029689061706,0.14481351500870757,-0.0012467818819094922,0.34210755585406155,0.3442229225769212,0.0021153667228596684,0.5379175787344588,0.6137842438738078,-0.07586666513934903,97,19
anchor_blend_g1.00,1.0,17,4,0.14606029689061706,0.14606029689061706,0.0,0.34210755585406155,0.34210755585406155,0.0,0.5379175787344588,0.5379175787344587,1.1102230246251565e-16,97,19
anchor_blend_g0.00,0.0,29,0,0.1328543229943847,0.1334794808731215,0.0006251578787367928,0.11962010936255957,0.12716864584500534,0.007548536482445772,0.8924871226216082,1.5448084895199545,0.43729561214156276,99,18
anchor_blend_g0.10,0.1,29,0,0.1328543229943847,0.13316710892022107,0.0003127859258363619,0.11962010936255957,0.13054253428454404,0.010922424921984475,0.8924871226216082,1.5098058644114545,0.4022929870330627,99,18
anchor_blend_g0.25,0.25,29,0,0.1328543229943847,0.13279130041530937,-6.302257907533915e-05,0.11962010936255957,0.1338915305684439,0.014271421205884344,0.8924871226216082,1.4288462012064045,0.3213333238280127,99,18
anchor_blend_g0.50,0.5,29,0,0.1328543229943847,0.132429603228344,-0.0004247197660407209,0.11962010936255957,0.1348812797993992,0.015261170436839638,0.8924871226216082,1.251496513705301,0.14398363632690914,99,18
anchor_blend_g0.75,0.75,29,0,0.1328543229943847,0.1324341289678623,-0.000420194026522408,0.11962010936255957,0.13011477234732055,0.010494662984760983,0.8924871226216082,1.0629283574686847,-0.04458451990970702,99,18
anchor_blend_g1.00,1.0,29,0,0.1328543229943847,0.13285432299438468,-2.7755575615628914e-17,0.11962010936255957,0.11962010936426962,1.710048769254513e-12,0.8924871226216082,0.8924871226216081,1.1102230246251565e-16,99,18
anchor_blend_g0.00,0.0,29,1,0.15477786124894807,0.1220020756143966,-0.03277578563455147,-0.10152230352259757,-0.04544755747669118,-0.05607474604590639,0.23498066694136316,1.6447614456025268,-0.12025788745610999,95,16
anchor_blend_g0.10,0.1,29,1,0.15477786124894807,0.12375292310874765,-0.031024938140200423,-0.10152230352259757,-0.03488302217443739,-0.06663928134816019,0.23498066694136316,1.4045764726380776,-0.3604428604205592,95,16
anchor_blend_g0.25,0.25,29,1,0.15477786124894807,0.1271533149290374,-0.02762454631991068,-0.10152230352259757,-0.026797569185333287,-0.07472473433726429,0.23498066694136316,1.0474955205004224,-0.7175238125582144,95,16
anchor_blend_g0.50,0.5,29,1,0.15477786124894807,0.13473401428682094,-0.020043846962127132,-0.10152230352259757,-0.03237269594634344,-0.06914960757625413,0.23498066694136316,0.618096541777849,-0.3831158748364858,95,16
anchor_blend_g0.75,0.75,29,1,0.15477786124894807,0.14420886524228674,-0.010568996006661335,-0.10152230352259757,-0.058527292210716446,-0.042995011311881125,0.23498066694136316,0.3743395106012126,-0.1393588436598494,95,16
anchor_blend_g1.00,1.0,29,1,0.15477786124894807,0.15477786124894807,0.0,-0.10152230352259757,-0.10152230352081336,-1.7842116672994734e-12,0.23498066694136316,0.23498066694136305,2.220446049250313e-16,95,16
anchor_blend_g0.00,0.0,29,2,0.13434832412190317,0.14432731930390594,0.009978995182002764,0.277854980440106,0.26398555594407636,-0.013869424496029625,2.089735580171066,1.059660839149107,-1.030074741021959,106,20
anchor_blend_g0.10,0.1,29,2,0.13434832412190317,0.14328966716126437,0.0089413430393612,0.277854980440106,0.26780481594758065,-0.010050164492525326,2.089735580171066,1.3177035038551481,-0.7720320763159179,106,20
anchor_blend_g0.25,0.25,29,2,0.13434832412190317,0.1417471455274684,0.00739882140556522,0.277854980440106,0.27251216461930183,-0.005342815820804148,2.089735580171066,1.6439896567242787,-0.4457459234467873,106,20
anchor_blend_g0.50,0.5,29,2,0.13434832412190317,0.13921556914281752,0.004867245020914346,0.277854980440106,0.2776389263733292,-0.00021605406677677186,2.089735580171066,1.9936568239992514,-0.0960787561718146,106,20
anchor_blend_g0.75,0.75,29,2,0.13434832412190317,0.13674271644057606,0.002394392318672889,0.277854980440106,0.27939789863098735,0.0015429181908813705,2.089735580171066,2.1174414168744122,0.027705836703346254,106,20
anchor_blend_g1.00,1.0,29,2,0.13434832412190317,0.13434832412190317,0.0,0.277854980440106,0.277854980440106,0.0,2.089735580171066,2.089735580171065,-8.881784197001252e-16,106,20
anchor_blend_g0.00,0.0,29,3,0.13091801219732,0.13183335951770958,0.0009153473203895868,-0.12289516238893762,-0.11005250846297664,-0.012842653925960984,0.4126275028337805,0.39158250375255726,0.021044999081223148,99,16
anchor_blend_g0.10,0.1,29,3,0.13091801219732,0.1317151730909177,0.0007971608935977148,-0.12289516238893762,-0.11085657577763233,-0.012038586611305288,0.4126275028337805,0.39465120471103465,0.017976298122745815,99,16
anchor_blend_g0.25,0.25,29,3,0.13091801219732,0.13154747703592942,0.0006294648386094281,-0.12289516238893762,-0.11226717899578628,-0.010627983393151338,0.4126275028337805,0.3988522569405699,0.013775245893210553,99,16
anchor_blend_g0.50,0.5,29,3,0.13091801219732,0.1312962804620357,0.00037826826471570874,-0.12289516238893762,-0.11515651140822253,-0.007738650980715092,0.4126275028337805,0.4047762779357966,0.007851224897983844,99,16
anchor_blend_g0.75,0.75,29,3,0.13091801219732,0.1310848459467175,0.00016683374939749362,-0.12289516238893762,-0.11870524472053823,-0.004189917668399393,0.4126275028337805,0.409358903102123,0.0032685997316574955,99,16
anchor_blend_g1.00,1.0,29,3,0.13091801219732,0.13091801219732,0.0,-0.12289516238893762,-0.12289516238893762,0.0,0.4126275028337805,0.41262750283378036,1.1102230246251565e-16,99,16
anchor_blend_g0.00,0.0,29,4,0.10797975345654266,0.11050592816259827,0.002526174706055609,-0.2091373226850802,-0.21390236421221004,0.004765041527129837,1.351015180305225,1.0880754290873975,-0.26293975121782753,93,13
anchor_blend_g0.10,0.1,29,4,0.10797975345654266,0.11023098216622934,0.0022512287096866784,-0.2091373226850802,-0.21296625144768624,0.003828928762606043,1.351015180305225,1.1178898346445596,-0.23312534566066545,93,13
anchor_blend_g0.25,0.25,29,4,0.10797975345654266,0.10982760415320177,0.0018478506966591035,-0.2091373226850802,-0.21175323427878576,0.0026159115937055555,1.351015180305225,1.1610959188788068,-0.18991926142641824,93,13
anchor_blend_g0.50,0.5,29,4,0.10797975345654266,0.10917984354612378,0.0012000900895811212,-0.2091373226850802,-0.21024210140094188,0.0011047787158616762,1.351015180305225,1.2312103272707067,-0.11980485303451838,93,13
anchor_blend_g0.75,0.75,29,4,0.10797975345654266,0.10856354521158003,0.0005837917550373661,-0.2091373226850802,-0.20937002601202498,0.00023270332694477758,1.351015180305225,1.294489168062584,-0.05652601224264098,93,13
anchor_blend_g1.00,1.0,29,4,0.10797975345654266,0.10797975345654268,1.3877787807814457e-17,-0.2091373226850802,-0.2091373226850802,0.0,1.351015180305225,1.3510151803052244,-6.661338147750939e-16,93,13
anchor_blend_g0.00,0.0,43,0,0.1268474565242424,0.13095556969450348,0.00410811317026108,0.21400200037205727,0.22058644924713627,0.006584448875079002,1.8855948079634588,1.879963635221909,-0.005631172741549895,98,18
anchor_blend_g0.10,0.1,43,0,0.1268474565242424,0.13049099357573515,0.0036435370514927568,0.21400200037205727,0.2218982155397397,0.007896215167682435,1.8855948079634588,1.9400744676759807,0.05447965971252189,98,18
anchor_blend_g0.25,0.25,43,0,0.1268474565242424,0.12981078207830854,0.002963325554066143,0.21400200037205727,0.22303289777748345,0.009030897405426175,1.8855948079634588,2.002147686394959,0.1165528784315002,98,18
anchor_blend_g0.50,0.5,43,0,0.1268474565242424,0.12873002000382117,0.0018825634795787693,0.21400200037205727,0.22271735953137878,0.008715359159321506,1.8855948079634588,2.034436456686465,0.1488416487230062,98,18
anchor_blend_g0.75,0.75,43,0,0.1268474565242424,0.12773353768560242,0.0008860811613600195,0.21400200037205727,0.2196841608835341,0.005682160511476825,1.8855948079634588,1.9879387912224085,0.10234398325894967,98,18
anchor_blend_g1.00,1.0,43,0,0.1268474565242424,0.1268474565242424,0.0,0.21400200037205727,0.21400200037207884,2.1566082253343666e-14,1.8855948079634588,1.8855948079634586,-2.220446049250313e-16,98,18
anchor_blend_g0.00,0.0,43,1,0.12007731169487006,0.12097491011212623,0.0008975984172561735,0.0187735695620568,-0.030558311306907556,0.011784741744850755,0.8430658066018756,0.9250960822810596,-0.08203027567918397,95,16
anchor_blend_g0.10,0.1,43,1,0.12007731169487006,0.12064125600166625,0.0005639443067961963,0.0187735695620568,-0.023361620041272527,0.004588050479215726,0.8430658066018756,0.9335118962802234,-0.09044608967834777,95,16
anchor_blend_g0.25,0.25,43,1,0.12007731169487006,0.12024405350088568,0.00016674180601562727,0.0187735695620568,-0.013557734216276226,-0.005215835345780575,0.8430658066018756,0.9375804146940154,-0.09451460809213985,95,16
anchor_blend_g0.50,0.5,43,1,0.12007731169487006,0.11985628665164096,-0.00022102504322910055,0.0187735695620568,0.00021583224135270126,-0.0185577373207041,0.8430658066018756,0.9239019780037389,-0.08083617140186328,95,16
anchor_blend_g0.75,0.75,43,1,0.12007731169487006,0.11980522437467313,-0.0002720873201969287,0.0187735695620568,0.01092932660809665,-0.00784424295396015,0.8430658066018756,0.8897488533936938,-0.04668304679181823,95,16
anchor_blend_g1.00,1.0,43,1,0.12007731169487006,0.12007731169487006,0.0,0.0187735695620568,0.018773569563662842,1.6060416885288475e-12,0.8430658066018756,0.8430658066018756,0.0,95,16
anchor_blend_g0.00,0.0,43,2,0.13586334823545354,0.1376098188839158,0.001746470648462256,0.1619421749952705,0.15744701878897552,-0.004495156206294981,1.064629443592657,1.1190155895834961,0.05438614599083902,102,19
anchor_blend_g0.10,0.1,43,2,0.13586334823545354,0.13727308057526164,0.0014097323398080952,0.1619421749952705,0.16020620064940733,-0.0017359743458631727,1.064629443592657,1.1419687610247002,0.07733931743204314,102,19
anchor_blend_g0.25,0.25,43,2,0.13586334823545354,0.13683224187304066,0.0009688936375871204,0.1619421749952705,0.1633606070063139,0.0014184320110434134,1.064629443592657,1.1642999161665726,0.09967047257391548,102,19
anchor_blend_g0.50,0.5,43,2,0.13586334823545354,0.13627412399536015,0.00041077575990661197,0.1619421749952705,0.16602419022755652,0.004082015232286018,1.064629443592657,1.1631832803238324,0.09855383673117535,102,19
anchor_blend_g0.75,0.75,43,2,0.13586334823545354,0.13594683207494865,8.348383949510763e-05,0.1619421749952705,0.16551583743934875,0.0035736624440782516,1.064629443592657,1.1260563493013283,0.06142690570867115,102,19
anchor_blend_g1.00,1.0,43,2,0.13586334823545354,0.13586334823545354,0.0,0.1619421749952705,0.1619421749952705,0.0,1.064629443592657,1.0646294435926564,-6.661338147750939e-16,102,19
anchor_blend_g0.00,0.0,43,3,0.08354755796747913,0.08703330214256001,0.0034857441750808793,-0.48007631097718256,-0.4319089903418616,-0.048167320635320976,1.6262916504884242,1.7196497890020892,0.09335813851366503,100,12
