candidate,gamma,seed,outer_fold,alpha_brier,beta_brier,beta_effective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
brier_full_shrinkage_g0.10,0.1,17,0,0.2711041292517146,1.1994468643010585,1.0199446864301058,0.1367038757967255,0.1367774212997668,7.354550304131124e-05,0.15681818185064597,0.1619016578308226,0.005083475980176638,1.1786832967737033,1.15571641888288,-0.02296687789082341,96,18
brier_full_shrinkage_g0.25,0.25,17,0,0.2711041292517146,1.1994468643010585,1.0498617160752646,0.1367038757967255,0.13689785034476967,0.00019397454804417902,0.15681818185064597,0.16939278630302718,0.012574604452381205,1.1786832967737033,1.1228108445838558,-0.05587245218984749,96,18
brier_full_shrinkage_g0.50,0.5,17,0,0.2711041292517146,1.1994468643010585,1.0997234321505291,0.1367038757967255,0.13712442674510997,0.0004205509483844738,0.15681818185064597,0.18152643377398964,0.024708251923343666,1.1786832967737033,1.0716856196501994,-0.10699767712350394,96,18
brier_full_shrinkage_g0.75,0.75,17,0,0.2711041292517146,1.1994468643010585,1.149585148225794,0.1367038757967255,0.13738160314182396,0.0006777273450984667,0.15681818185064597,0.1932303195981911,0.03641213774754512,1.1786832967737033,1.0256150667662325,-0.15306823000747083,96,18
brier_full_shrinkage_g1.00,1.0,17,0,0.2711041292517146,1.1994468643010585,1.1994468643010585,0.1367038757967255,0.13766746746458006,0.0009635916678545631,0.15681818185064597,0.20451553250575846,0.04769735065511249,1.1786832967737033,0.9829785291754284,-0.1616618259491317,96,18
brier_full_shrinkage_g0.10,0.1,17,1,0.2912797284598643,1.1401766468568308,1.014017664685683,0.11663494349976604,0.11673342371714915,9.848021738310953e-05,-0.1841195718701297,-0.1913899942054217,0.007270422335291987,0.717666554250058,0.7078113730298219,0.009855181220236098,95,14
brier_full_shrinkage_g0.25,0.25,17,1,0.2912797284598643,1.1401766468568308,1.0350441617142077,0.11663494349976604,0.11689182932577871,0.0002568858260126733,-0.1841195718701297,-0.20236134301493028,0.018241771144800578,0.717666554250058,0.6937019205358699,0.02396463371418811,95,14
brier_full_shrinkage_g0.50,0.5,17,1,0.2912797284598643,1.1401766468568308,1.0700883234284153,0.11663494349976604,0.11718497968420546,0.0005500361844394258,-0.1841195718701297,-0.22082079339122557,0.03670122152109587,0.717666554250058,0.6716452293571382,0.04602132489291977,95,14
brier_full_shrinkage_g0.75,0.75,17,1,0.2912797284598643,1.1401766468568308,1.1051324851426232,0.11663494349976604,0.11751556156886209,0.000880618069096048,-0.1841195718701297,-0.2394953158373488,0.05537574396721909,0.717666554250058,0.6490700182879406,0.06859653596211734,95,14
brier_full_shrinkage_g1.00,1.0,17,1,0.2912797284598643,1.1401766468568308,1.1401766468568308,0.11663494349976604,0.1178846660153089,0.001249722515542867,-0.1841195718701297,-0.25838225304604456,0.07426268117591486,0.717666554250058,0.6287491533591816,0.08891740089087641,95,14
