candidate,delta_ipcw_brier,worst_supported_pattern_regret,abs_citl_error_deterioration,abs_slope_error_deterioration,kendall_tau,passes_all
brier_full_shrinkage_g0.10,7.506708558224773e-05,0.0005515461759223184,-0.0022772260181240147,-0.001811029730161784,0.9902571274594404,True
brier_full_shrinkage_g0.25,0.0001976593944627847,0.0013885431526937386,-0.005861370294119896,-0.003441717048837667,0.9754212995566311,True
brier_full_shrinkage_g0.50,0.0004293597542490424,0.00280873703815826,-0.011069215659276061,-0.003408920630021739,0.9498903976433012,True
brier_full_shrinkage_g0.75,0.0006966254703065777,0.004259493643496287,-0.00405809598533779,0.0004954022947796233,0.9236393933683135,True
brier_full_shrinkage_g1.00,0.0010012194304747923,0.005739816885482862,0.0035493691939484824,0.009203975306971146,0.8963548537478054,True
