study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,17,age_group,>=65,B7_full_equal_weight_90,49,0.9387755102040817,46.0,12.0,43.71347691039723,0.11763393346545473,0.5889967637540453,0.6377378144687984,0.6587456282921587,0.13372117912979525,1.5815908490217734,0.1377479089060696
HANCOCK,17,site_group,other,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,17,site_group,other,B6,122,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445
HANCOCK,17,site_group,other,B7_full_equal_weight_90,122,0.9016393442622951,110.0,31.0,109.98828504074395,0.11952358652100646,0.622437971952535,0.6875944944776541,0.7035607009164697,0.20785156831931118,1.7192310164544153,0.1233497613347148
HANCOCK,17,stage_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,17,stage_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445
HANCOCK,17,stage_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,31.0,109.98828504074395,0.11952358652100646,0.622437971952535,0.6875944944776541,0.7035607009164697,0.20785156831931118,1.7192310164544153,0.1233497613347148
HANCOCK,17,hpv_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,17,hpv_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445
HANCOCK,17,hpv_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,31.0,109.98828504074395,0.11952358652100646,0.622437971952535,0.6875944944776541,0.7035607009164697,0.20785156831931118,1.7192310164544153,0.1233497613347148
HANCOCK,17,natural_modality_missingness,complete,B2,86,1.0,86.0,25.0,86.00897189225475,0.15549053200881235,0.5924242424242424,0.6076860893897195,0.6503398367452526,0.41519107938153643,2.4216798648840276,0.13990965124843796
HANCOCK,17,natural_modality_missingness,complete,B6,86,1.0,86.0,25.0,86.00897189225475,0.1409123068606658,0.7083333333333334,0.7804363217217063,0.8186706271689647,0.465910993173801,3.0477473118311713,0.14384407486594325
HANCOCK,17,natural_modality_missingness,complete,B7_full_equal_weight_90,86,0.8837209302325582,76.0,20.0,76.90524572671634,0.12149064025553392,0.6194285714285714,0.6977050291771482,0.7252179970086721,0.20674776875543385,2.010604907445944,0.12704486518921215
HANCOCK,17,natural_modality_missingness,missing,B2,36,1.0,36.0,13.0,35.322109783686,0.12341951801811102,0.7217391304347827,0.762092769950278,0.7538077668824325,0.22703304279002426,2.876313755884879,0.13204121757806597
HANCOCK,17,natural_modality_missingness,missing,B6,36,1.0,36.0,13.0,35.322109783686,0.09958138040934816,0.6130434782608696,0.6419219012128287,0.6477636390740488,0.1395601996091373,1.5800419641079593,0.1377645123739285
HANCOCK,17,natural_modality_missingness,missing,B7_full_equal_weight_90,36,0.9444444444444444,34.0,11.0,33.08303931402762,0.11512664287912157,0.6079545454545454,0.6265160615203028,0.6111594240656187,0.21052456804271677,0.9043327750887103,0.1150901174246619
