representation,study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
median_no_missing_indicator,HANCOCK,101,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12856997264432496,0.6757564437803512,0.7409552516651307,0.7688790362672505,0.374863973478632,2.4394646597154845,0.14207912315825888
median_no_missing_indicator,HANCOCK,101,random_cell_dropout_30pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.14256468497879704,0.6255136346656706,0.663613827009131,0.6757208130991209,0.4520003622670556,1.95704769229847,0.12732118962734393
median_no_missing_indicator,HANCOCK,101,random_cell_dropout_30pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.1391284366315528,0.6832274934628315,0.7189167665726796,0.7465614484777344,0.4350333626165974,2.294635812593503,0.13074911068482478
median_no_missing_indicator,HANCOCK,101,random_cell_dropout_30pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.14012324059656325,0.6634292118042585,0.6971843755854912,0.7233065165895037,0.4474559252550622,2.3638595500322954,0.12888512181071896
within_sample_rank,TCGA-HNSC,17,clean,B4,none,full,1.0,104.0,44.0,107.37347592126233,0.23613570941934958,0.6569111424541608,0.6515188002744581,0.6388987060989212,-0.08029205957723226,0.5105802731179687,0.3637468055541495
within_sample_rank,TCGA-HNSC,17,clean,B5,none,full,1.0,104.0,44.0,107.37347592126233,0.2487340811112537,0.639280677009873,0.6275107370938745,0.6226471925179247,-0.06414522604909709,0.3806985971715089,0.36140183091359357
within_sample_rank,TCGA-HNSC,17,clean,B6,none,full,1.0,104.0,44.0,107.37347592126233,0.24393815409147118,0.6456276445698167,0.6360617423843064,0.6315555938231043,-0.07237963131700342,0.4286033247201637,0.36227061992571485
within_sample_rank,TCGA-HNSC,29,clean,B4,none,full,1.0,104.0,44.0,107.37347592126233,0.23613570941934958,0.6569111424541608,0.6515188002744581,0.6388987060989212,-0.08029205957723226,0.5105802731179687,0.3637468055541495
within_sample_rank,TCGA-HNSC,29,clean,B5,none,full,1.0,104.0,44.0,107.37347592126233,0.2487340811112537,0.639280677009873,0.6275107370938745,0.6226471925179247,-0.06414522604909709,0.3806985971715089,0.36140183091359357
within_sample_rank,TCGA-HNSC,29,clean,B6,none,full,1.0,104.0,44.0,107.37347592126233,0.24561017198438553,0.642101551480959,0.6319615062472992,0.6291205070483514,-0.06743542617305477,0.4085697375392252,0.3614201257710609
within_sample_rank,TCGA-HNSC,43,clean,B4,none,full,1.0,104.0,44.0,107.37347592126233,0.23613570941934958,0.6569111424541608,0.6515188002744581,0.6388987060989212,-0.08029205957723226,0.5105802731179687,0.3637468055541495
within_sample_rank,TCGA-HNSC,43,clean,B5,none,full,1.0,104.0,44.0,107.37347592126233,0.2487340811112537,0.639280677009873,0.6275107370938745,0.6226471925179247,-0.06414522604909709,0.3806985971715089,0.36140183091359357
within_sample_rank,TCGA-HNSC,43,clean,B6,none,full,1.0,104.0,44.0,107.37347592126233,0.24635973221060625,0.6438645980253879,0.6332658232397558,0.6303581050773135,-0.06907442353307398,0.404014177886147,0.36153147908034344
within_sample_rank,TCGA-HNSC,71,clean,B4,none,full,1.0,104.0,44.0,107.37347592126233,0.23613570941934958,0.6569111424541608,0.6515188002744581,0.6388987060989212,-0.08029205957723226,0.5105802731179687,0.3637468055541495
within_sample_rank,TCGA-HNSC,71,clean,B5,none,full,1.0,104.0,44.0,107.37347592126233,0.2487340811112537,0.639280677009873,0.6275107370938745,0.6226471925179247,-0.06414522604909709,0.3806985971715089,0.36140183091359357
within_sample_rank,TCGA-HNSC,71,clean,B6,none,full,1.0,104.0,44.0,107.37347592126233,0.24792692193318977,0.6410437235543018,0.6307793945241958,0.6264831293559479,-0.07418566255918684,0.38850541760026913,0.36250196640541793
within_sample_rank,TCGA-HNSC,101,clean,B4,none,full,1.0,104.0,44.0,107.37347592126233,0.23613570941934958,0.6569111424541608,0.6515188002744581,0.6388987060989212,-0.08029205957723226,0.5105802731179687,0.3637468055541495
within_sample_rank,TCGA-HNSC,101,clean,B5,none,full,1.0,104.0,44.0,107.37347592126233,0.2487340811112537,0.639280677009873,0.6275107370938745,0.6226471925179247,-0.06414522604909709,0.3806985971715089,0.36140183091359357
within_sample_rank,TCGA-HNSC,101,clean,B6,none,full,1.0,104.0,44.0,107.37347592126233,0.2476603599993805,0.6354019746121298,0.6238165968010893,0.6188253036735696,-0.06523415516863638,0.39054718769426006,0.3606836500480043
