study,seed,scenario,mean_clinical_unreliability,mean_modality_unreliability,median_modality_ood_rank,mean_modality_missingness,mean_perturbation_sensitivity_rank
HANCOCK,17,clean,0.5040983606557377,0.5557780166621876,0.4685792349726776,0.13524590163934427,0.5041655468959957
HANCOCK,17,random_cell_dropout_10pct,0.5040983606557377,0.6152378392905133,0.8483606557377048,0.22418032786885247,0.49858908895458215
HANCOCK,17,random_cell_dropout_30pct,0.5040983606557377,0.632074711099167,0.9221311475409837,0.3885245901639345,0.4356355818328406
HANCOCK,17,measurement_noise_0.5sd,0.5040983606557377,0.6182298665233361,0.7295081967213115,0.13524590163934427,0.5532115022843321
HANCOCK,17,location_shift_1sd,0.5040983606557377,0.5901370599301263,0.7090163934426229,0.13524590163934427,0.5065842515452835
HANCOCK,17,row_permutation_negative_control,0.5040983606557377,0.5599032518140283,0.4685792349726776,0.13524590163934427,0.5081295350712175
HANCOCK,17,complete_modality_dropout,0.5040983606557377,0.4500851025709935,0.6202185792349727,1.0,0.016393442622950817
HANCOCK,17,blood_block_dropout_30pct_rows,0.5040983606557377,0.5282226999910418,0.4685792349726776,0.3450819672131147,0.41749529696318194
HANCOCK,17,tma_block_dropout_30pct_rows,0.5040983606557377,0.5739317387798978,0.6202185792349727,0.18975409836065577,0.49173609244826655
HANCOCK,17,blood_and_tma_dropout_30pct_rows,0.5040983606557377,0.53089671235331,0.6202185792349727,0.40204918032786885,0.4009674818597151
HANCOCK,17,oropharynx_targeted_tma_dropout,0.5040983606557377,0.5585192152647139,0.4685792349726776,0.13524590163934427,0.5178715399086268
HANCOCK,29,clean,0.5040983606557377,0.5557645794141359,0.47540983606557374,0.13524590163934427,0.5040983606557378
HANCOCK,29,random_cell_dropout_10pct,0.5040983606557377,0.6022977694168234,0.8469945355191256,0.22295081967213115,0.4540446116635313
HANCOCK,29,random_cell_dropout_30pct,0.5040983606557377,0.6271969900564364,0.924863387978142,0.38524590163934425,0.45249932813759736
HANCOCK,29,measurement_noise_0.5sd,0.5040983606557377,0.6050927170115561,0.6939890710382515,0.13524590163934427,0.5000000000000001
HANCOCK,29,location_shift_1sd,0.5040983606557377,0.6323344978948313,0.7377049180327868,0.13524590163934427,0.5169309325450148
HANCOCK,29,row_permutation_negative_control,0.5040983606557377,0.5474737973662994,0.47540983606557374,0.13524590163934427,0.47829884439666753
HANCOCK,29,complete_modality_dropout,0.5040983606557377,0.4333691659948043,0.6202185792349727,1.0,0.0
HANCOCK,29,blood_block_dropout_30pct_rows,0.5040983606557377,0.5249126578876645,0.4521857923497268,0.3581967213114754,0.3957941413598495
HANCOCK,29,tma_block_dropout_30pct_rows,0.5040983606557377,0.5658425154528353,0.6202185792349727,0.19139344262295083,0.4646600376242946
HANCOCK,29,blood_and_tma_dropout_30pct_rows,0.5040983606557377,0.512433933530413,0.6202185792349727,0.39999999999999997,0.3586401504971782
HANCOCK,29,oropharynx_targeted_tma_dropout,0.5040983606557377,0.5540177371674282,0.47540983606557374,0.13524590163934427,0.49536414942219836
HANCOCK,43,clean,0.5040983606557377,0.5557645794141359,0.4781420765027322,0.13524590163934427,0.5040983606557377
HANCOCK,43,random_cell_dropout_10pct,0.5040983606557377,0.6100331452118606,0.8633879781420765,0.2307377049180328,0.4514243482934695
HANCOCK,43,random_cell_dropout_30pct,0.5040983606557377,0.6220191704738869,0.9207650273224043,0.4049180327868852,0.43402311206664873
HANCOCK,43,measurement_noise_0.5sd,0.5040983606557377,0.602141001522888,0.6967213114754097,0.13524590163934427,0.5224402042461704
HANCOCK,43,location_shift_1sd,0.5040983606557377,0.6273044880408493,0.7527322404371585,0.13524590163934427,0.5048374092985757
HANCOCK,43,row_permutation_negative_control,0.5040983606557377,0.5536952432141898,0.4781420765027322,0.13524590163934427,0.5064498790647676
HANCOCK,43,complete_modality_dropout,0.5040983606557377,0.4487145032697304,0.6202185792349727,1.0,0.0
HANCOCK,43,blood_block_dropout_30pct_rows,0.5040983606557377,0.5419376511690406,0.47404371584699456,0.3254098360655737,0.44853533996237577
HANCOCK,43,tma_block_dropout_30pct_rows,0.5040983606557377,0.5715623040401328,0.6202185792349727,0.18975409836065574,0.48609244826659503
HANCOCK,43,blood_and_tma_dropout_30pct_rows,0.5040983606557377,0.5418211950192601,0.6202185792349727,0.4032786885245901,0.3994893845740392
HANCOCK,43,oropharynx_targeted_tma_dropout,0.5040983606557377,0.5601048105348027,0.4781420765027322,0.13524590163934427,0.5257995162590702
HANCOCK,71,clean,0.5040983606557377,0.5557645794141359,0.4781420765027322,0.13524590163934427,0.5040983606557377
HANCOCK,71,random_cell_dropout_10pct,0.5040983606557377,0.6058855146466005,0.8237704918032789,0.21803278688524586,0.4643241064230046
HANCOCK,71,random_cell_dropout_30pct,0.5040983606557377,0.6225073904864283,0.9234972677595629,0.39999999999999997,0.41789841440473
HANCOCK,71,measurement_noise_0.5sd,0.5040983606557377,0.6006942578159993,0.7281420765027322,0.13524590163934427,0.5174684224670788
HANCOCK,71,location_shift_1sd,0.5040983606557377,0.6042148168055181,0.7390710382513661,0.13524590163934427,0.4937516796560064
HANCOCK,71,row_permutation_negative_control,0.5040983606557377,0.5507121741467346,0.4781420765027322,0.13524590163934425,0.4745364149422199
HANCOCK,71,complete_modality_dropout,0.5040983606557377,0.43455164382334494,0.6202185792349727,1.0,0.0
HANCOCK,71,blood_block_dropout_30pct_rows,0.5040983606557377,0.5256113947863478,0.4672131147540984,0.3450819672131147,0.41588282719699005
HANCOCK,71,tma_block_dropout_30pct_rows,0.5040983606557377,0.5710561676968556,0.6202185792349727,0.19303278688524594,0.47776135447460366
HANCOCK,71,blood_and_tma_dropout_30pct_rows,0.5040983606557377,0.5272283436352235,0.6202185792349727,0.40614754098360656,0.39747379736629934
HANCOCK,71,oropharynx_targeted_tma_dropout,0.5040983606557377,0.5507256113947864,0.4781420765027322,0.13524590163934427,0.47890352055898944
HANCOCK,101,clean,0.5040983606557377,0.5557645794141359,0.47540983606557374,0.13524590163934427,0.5040983606557377
HANCOCK,101,random_cell_dropout_10pct,0.5040983606557377,0.6214503269730359,0.8442622950819672,0.21721311475409838,0.528890083310938
HANCOCK,101,random_cell_dropout_30pct,0.5040983606557377,0.6285138403654931,0.9193989071038251,0.38893442622950825,0.4400026874496103
HANCOCK,101,measurement_noise_0.5sd,0.5040983606557377,0.6099256472274479,0.7581967213114753,0.13524590163934427,0.5225073904864285
HANCOCK,101,location_shift_1sd,0.5040983606557377,0.5811564991489743,0.7759562841530054,0.13524590163934427,0.43308250470303683
HANCOCK,101,row_permutation_negative_control,0.5040983606557377,0.5559392636388069,0.47540983606557374,0.13524590163934427,0.4929454447729106
HANCOCK,101,complete_modality_dropout,0.5040983606557377,0.4414987010660217,0.6202185792349727,1.0,0.008196721311475409
HANCOCK,101,blood_block_dropout_30pct_rows,0.5040983606557377,0.5308653587745229,0.45081967213114754,0.3319672131147541,0.415815640956732
HANCOCK,101,tma_block_dropout_30pct_rows,0.5040983606557377,0.5689106870912837,0.6202185792349727,0.1877049180327869,0.47171459285138406
HANCOCK,101,blood_and_tma_dropout_30pct_rows,0.5040983606557377,0.5298530860879693,0.6202185792349727,0.3864754098360656,0.42434829346949743
HANCOCK,101,oropharynx_targeted_tma_dropout,0.5040983606557377,0.5562483203439936,0.47540983606557374,0.13524590163934427,0.5065170653050255
TCGA-HNSC,17,clean,0.5052699704142012,0.40384615384615385,0.4759615384615385,0.0,0.5048076923076923
TCGA-HNSC,17,random_cell_dropout_10pct,0.5052699704142012,0.5671412721893491,0.3269230769230769,0.10030114910637905,0.46653106508875736
TCGA-HNSC,17,random_cell_dropout_30pct,0.5052699704142012,0.5015902366863905,0.09134615384615385,0.3004694496466363,0.41170488165680474
TCGA-HNSC,17,measurement_noise_0.5sd,0.5052699704142012,0.44853920118343193,0.6410256410256411,0.0,0.4933431952662722
TCGA-HNSC,17,location_shift_1sd,0.5052699704142012,0.46096523668639056,0.7275641025641026,0.0,0.47226331360946744
TCGA-HNSC,17,row_permutation_negative_control,0.5052699704142012,0.3933308678500986,0.4759615384615385,0.0,0.4698594674556213
TCGA-HNSC,17,complete_modality_dropout,0.5052699704142012,0.3007827909270217,0.006410256410256411,1.0,0.0
TCGA-HNSC,29,clean,0.5052699704142012,0.40384615384615385,0.5096153846153846,0.0,0.5048076923076923
TCGA-HNSC,29,random_cell_dropout_10pct,0.5052699704142012,0.5690335305719921,0.3237179487179487,0.10005789846862886,0.4796597633136095
TCGA-HNSC,29,random_cell_dropout_30pct,0.5052699704142012,0.5000678007889546,0.07051282051282051,0.3003808197112976,0.4154955621301776
TCGA-HNSC,29,measurement_noise_0.5sd,0.5052699704142012,0.43436267258382644,0.6089743589743589,0.0,0.4462832840236687
TCGA-HNSC,29,location_shift_1sd,0.5052699704142012,0.4767443293885601,0.7644230769230769,0.0,0.5435465976331361
TCGA-HNSC,29,row_permutation_negative_control,0.5052699704142012,0.406391765285996,0.5096153846153846,0.0,0.4648668639053254
TCGA-HNSC,29,complete_modality_dropout,0.5052699704142012,0.3168515779092703,0.006410256410256411,1.0,0.0
TCGA-HNSC,43,clean,0.5052802432610124,0.40384615384615385,0.4807692307692308,0.0,0.5048076923076923
TCGA-HNSC,43,random_cell_dropout_10pct,0.5052802432610124,0.5692924063116371,0.3349358974358974,0.10009161637881206,0.5093380177514794
TCGA-HNSC,43,random_cell_dropout_30pct,0.5052802432610124,0.5206792406311637,0.0689102564102564,0.2996361355806802,0.4635724852071006
TCGA-HNSC,43,measurement_noise_0.5sd,0.5052802432610124,0.4698594674556213,0.6442307692307692,0.0,0.5609282544378698
