study,seed,subgroup_variable,model,worst_ipcw_brier,best_ipcw_brier,worst_group_coverage,brier_range
HANCOCK,71,natural_modality_missingness,B6,0.1409903772214058,0.10084598815426069,1.0,0.040144389067145125
HANCOCK,71,natural_modality_missingness,B7_full_equal_weight_90,0.13330187089619117,0.11596726488385238,0.8837209302325582,0.017334606012338785
HANCOCK,71,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,71,sex,B6,0.16205783589920245,0.11793225386504404,1.0,0.04412558203415841
HANCOCK,71,sex,B7_full_equal_weight_90,0.12887576497415268,0.12761027172729728,0.8901098901098901,0.0012654932468554037
HANCOCK,71,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,71,site_group,B6,0.12914449192290395,0.12914449192290395,1.0,0.0
HANCOCK,71,site_group,B7_full_equal_weight_90,0.12794390176510462,0.12794390176510462,0.9016393442622951,0.0
HANCOCK,71,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,71,stage_group,B6,0.12914449192290395,0.12914449192290395,1.0,0.0
HANCOCK,71,stage_group,B7_full_equal_weight_90,0.12794390176510462,0.12794390176510462,0.9016393442622951,0.0
HANCOCK,101,age_group,B2,0.15034343144657633,0.13959628379203648,1.0,0.010747147654539851
HANCOCK,101,age_group,B6,0.13053663714547542,0.12724988361462822,1.0,0.003286753530847203
HANCOCK,101,age_group,B7_full_equal_weight_90,0.11835373935399864,0.09940672213498443,0.8904109589041096,0.018947017219014206
HANCOCK,101,hpv_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,101,hpv_group,B6,0.12856997314750948,0.12856997314750948,1.0,0.0
HANCOCK,101,hpv_group,B7_full_equal_weight_90,0.11060268685531102,0.11060268685531102,0.9016393442622951,0.0
HANCOCK,101,natural_modality_missingness,B2,0.15549053200881235,0.12341951801811102,1.0,0.032071013990701336
HANCOCK,101,natural_modality_missingness,B6,0.14046574116500263,0.10015230510572033,1.0,0.040313436059282295
HANCOCK,101,natural_modality_missingness,B7_full_equal_weight_90,0.11331306005555106,0.10933784602853235,0.872093023255814,0.003975214027018711
HANCOCK,101,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,101,sex,B6,0.1619088777458421,0.11721276388873685,1.0,0.044696113857105244
HANCOCK,101,sex,B7_full_equal_weight_90,0.12101534311657164,0.07859341020032469,0.8709677419354839,0.04242193291624695
HANCOCK,101,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,101,site_group,B6,0.12856997314750948,0.12856997314750948,1.0,0.0
HANCOCK,101,site_group,B7_full_equal_weight_90,0.11060268685531102,0.11060268685531102,0.9016393442622951,0.0
HANCOCK,101,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,101,stage_group,B6,0.12856997314750948,0.12856997314750948,1.0,0.0
HANCOCK,101,stage_group,B7_full_equal_weight_90,0.11060268685531102,0.11060268685531102,0.9016393442622951,0.0
TCGA-HNSC,17,age_group,B2,0.24576875842580295,0.23495741718938146,1.0,0.010811341236421496
TCGA-HNSC,17,age_group,B6,0.26190552369370296,0.23285806244080623,1.0,0.029047461252896728
TCGA-HNSC,17,age_group,B7_full_equal_weight_90,0.2588834772583159,0.220047228565535,0.7647058823529411,0.038836248692780906
TCGA-HNSC,17,hpv_group,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,17,hpv_group,B6,0.24235434785040713,0.24235434785040713,1.0,0.0
TCGA-HNSC,17,hpv_group,B7_full_equal_weight_90,0.2307891696933254,0.2307891696933254,0.9038461538461539,0.0
TCGA-HNSC,17,natural_modality_missingness,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,17,natural_modality_missingness,B6,0.24235434785040713,0.24235434785040713,1.0,0.0
TCGA-HNSC,17,natural_modality_missingness,B7_full_equal_weight_90,0.2307891696933254,0.2307891696933254,0.9038461538461539,0.0
TCGA-HNSC,17,sex,B2,0.28019741782291446,0.22824786283162588,1.0,0.05194955499128859
TCGA-HNSC,17,sex,B6,0.2666987323083979,0.23338536410272634,1.0,0.03331336820567157
TCGA-HNSC,17,sex,B7_full_equal_weight_90,0.2608054138283414,0.21991371891976894,0.8928571428571429,0.040891694908572446
TCGA-HNSC,17,site_group,B2,0.24342066440002907,0.24342066440002907,1.0,0.0
TCGA-HNSC,17,site_group,B6,0.24987624617923895,0.24987624617923895,1.0,0.0
TCGA-HNSC,17,site_group,B7_full_equal_weight_90,0.23200554399861859,0.23200554399861859,0.91,0.0
TCGA-HNSC,17,stage_group,B2,0.2583763561517533,0.2583763561517533,1.0,0.0
TCGA-HNSC,17,stage_group,B6,0.26102596684651347,0.26102596684651347,1.0,0.0
TCGA-HNSC,17,stage_group,B7_full_equal_weight_90,0.24132057695633904,0.24132057695633904,0.9397590361445783,0.0
TCGA-HNSC,29,age_group,B2,0.24576875842580295,0.23495741718938146,1.0,0.010811341236421496
TCGA-HNSC,29,age_group,B6,0.26459876273888266,0.23321010711477816,1.0,0.031388655624104506
TCGA-HNSC,29,age_group,B7_full_equal_weight_90,0.2837720132271205,0.22057576261064016,0.8235294117647058,0.06319625061648032
TCGA-HNSC,29,hpv_group,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,29,hpv_group,B6,0.2434717829918892,0.2434717829918892,1.0,0.0
TCGA-HNSC,29,hpv_group,B7_full_equal_weight_90,0.23940017768788954,0.23940017768788954,0.9038461538461539,0.0
TCGA-HNSC,29,natural_modality_missingness,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,29,natural_modality_missingness,B6,0.2434717829918892,0.2434717829918892,1.0,0.0
TCGA-HNSC,29,natural_modality_missingness,B7_full_equal_weight_90,0.23940017768788954,0.23940017768788954,0.9038461538461539,0.0
TCGA-HNSC,29,sex,B2,0.28019741782291446,0.22824786283162588,1.0,0.05194955499128859
TCGA-HNSC,29,sex,B6,0.2656106631647471,0.2353153534545205,1.0,0.030295309710226564
TCGA-HNSC,29,sex,B7_full_equal_weight_90,0.2548737509873015,0.23379381055042148,0.8928571428571429,0.021079940436879996
TCGA-HNSC,29,site_group,B2,0.24342066440002907,0.24342066440002907,1.0,0.0
TCGA-HNSC,29,site_group,B6,0.25099030355796953,0.25099030355796953,1.0,0.0
TCGA-HNSC,29,site_group,B7_full_equal_weight_90,0.24272514088090297,0.24272514088090297,0.9,0.0
TCGA-HNSC,29,stage_group,B2,0.2583763561517533,0.2583763561517533,1.0,0.0
TCGA-HNSC,29,stage_group,B6,0.26274795683644153,0.26274795683644153,1.0,0.0
TCGA-HNSC,29,stage_group,B7_full_equal_weight_90,0.24970677598900465,0.24970677598900465,0.927710843373494,0.0
TCGA-HNSC,43,age_group,B2,0.24576875842580295,0.23495741718938146,1.0,0.010811341236421496
TCGA-HNSC,43,age_group,B6,0.26721289098884443,0.23395699173050072,1.0,0.03325589925834371
TCGA-HNSC,43,age_group,B7_full_equal_weight_90,0.2646977076197156,0.213537573553226,0.8235294117647058,0.051160134066489615
TCGA-HNSC,43,hpv_group,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,43,hpv_group,B6,0.24482911264188226,0.24482911264188226,1.0,0.0
TCGA-HNSC,43,hpv_group,B7_full_equal_weight_90,0.22877676242409525,0.22877676242409525,0.9038461538461539,0.0
TCGA-HNSC,43,natural_modality_missingness,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,43,natural_modality_missingness,B6,0.24482911264188226,0.24482911264188226,1.0,0.0
TCGA-HNSC,43,natural_modality_missingness,B7_full_equal_weight_90,0.22877676242409525,0.22877676242409525,0.9038461538461539,0.0
TCGA-HNSC,43,sex,B2,0.28019741782291446,0.22824786283162588,1.0,0.05194955499128859
TCGA-HNSC,43,sex,B6,0.2630538086316822,0.23811475096142964,1.0,0.024939057670252562
TCGA-HNSC,43,sex,B7_full_equal_weight_90,0.2549534170677796,0.21980190940340352,0.8571428571428571,0.03515150766437605
TCGA-HNSC,43,site_group,B2,0.24342066440002907,0.24342066440002907,1.0,0.0
TCGA-HNSC,43,site_group,B6,0.25226985054651807,0.25226985054651807,1.0,0.0
TCGA-HNSC,43,site_group,B7_full_equal_weight_90,0.22981367563787441,0.22981367563787441,0.91,0.0
TCGA-HNSC,43,stage_group,B2,0.2583763561517533,0.2583763561517533,1.0,0.0
TCGA-HNSC,43,stage_group,B6,0.2647989344605583,0.2647989344605583,1.0,0.0
TCGA-HNSC,43,stage_group,B7_full_equal_weight_90,0.25081048315795734,0.25081048315795734,0.891566265060241,0.0
TCGA-HNSC,71,age_group,B2,0.24576875842580295,0.23495741718938146,1.0,0.010811341236421496
TCGA-HNSC,71,age_group,B6,0.2673288177284468,0.23307927823861552,1.0,0.03424953948983128
