stage,candidate,beta,intercept_objective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,citl_abs_error_change,slope_raw,slope_candidate,slope_abs_error_change,worst_supported_pattern_regret,coverage,ranking_preserved,passes_global_brier_gate,passes_pattern_gate,citl_improved,slope_improved,exploratory_screen_pass
U5R5,fixed_beta_0.800,0.8,brier,0.126636630558532,0.12672439457986487,8.776402133287009e-05,0.011680298694808466,-0.030638749420004108,0.01895845072519564,0.8258867071770277,0.9863527369745096,-0.16046602979748192,0.007045406101555657,1.0,True,True,False,False,True,False
U5R5,fixed_beta_0.825,0.825,brier,0.126636630558532,0.12674802270114702,0.00011139214261501884,0.011680298694808466,-0.027245524161874424,0.015565225467065957,0.8258867071770277,0.9570728118296173,-0.13118610465258962,0.00638306815750328,1.0,True,True,False,False,True,False
U5R5,fixed_beta_0.850,0.85,brier,0.126636630558532,0.12678139111279454,0.0001447605542625463,0.011680298694808466,-0.023689405330875712,0.012009106636067246,0.8258867071770277,0.9294689035186448,-0.10358219634161703,0.005747181859585171,1.0,True,True,False,False,True,False
U5R5,fixed_beta_0.875,0.875,brier,0.126636630558532,0.12682415277324458,0.00018752221471257657,0.011680298694808466,-0.01997290391101031,0.008292605216201843,0.8258867071770277,0.9034005975828325,-0.07751389040580481,0.005137548040477696,1.0,True,True,False,False,True,False
U5R5,fixed_beta_0.900,0.9,brier,0.126636630558532,0.12687597023525632,0.00023933967672432055,0.011680298694808466,-0.0160980191017982,0.0044177204069897336,0.8258867071770277,0.8787441880084442,-0.0528574808314165,0.004553981289478648,1.0,True,True,True,False,True,False
U5R5,fixed_beta_0.925,0.925,brier,0.126636630558532,0.12693651711328752,0.0002998865547555185,0.011680298694808466,-0.012066337992912624,0.00038603929810415716,0.8258867071770277,0.8553869454826246,-0.029500238305596893,0.003996312679629854,1.0,True,True,True,False,True,False
U5R5,fixed_beta_0.950,0.95,brier,0.126636630558532,0.1270054783288705,0.0003688477703384929,0.011680298694808466,-0.00787915498328029,-0.0038011437115281765,0.8258867071770277,0.8332284563137144,-0.007341749136686726,0.0034643746507730944,1.0,True,True,True,True,True,True
U5R5,fixed_beta_0.975,0.975,brier,0.126636630558532,0.12708255021467757,0.0004459196561455714,0.011680298694808466,-0.0035375010480704905,-0.008142797646737976,0.8258867071770277,0.8121786480321507,0.01370805914487705,0.002958005297820171,1.0,True,True,True,True,False,False
U5R5,fixed_beta_1.000,1.0,brier,0.126636630558532,0.1271674406474236,0.000530810088891609,0.011680298694808466,0.0009577462637653245,-0.010722552431043142,0.8258867071770277,0.7921554976469888,0.03373120953003894,0.002477039986206908,1.0,True,False,True,True,False,False
U5R5,fixed_beta_1.025,1.025,brier,0.126636630558532,0.1272598686289442,0.000623238070412202,0.011680298694808466,0.0056058375801090465,-0.00607446111469942,0.8258867071770277,0.7730851972976029,0.05280150987942478,0.0025999120772613737,1.0,True,False,True,True,False,False
