Image,Name,Missing,Centroid X µm,Centroid Y µm,Case ID,Num Detections,Num Negative,Num Positive,Positive %,Num Positive per mm^2
TumorCenter_CD8_block20.svs,12-1,False,4347.7,30358.9,694,14413,13717,696,4.829,358.31
TumorCenter_CD8_block20.svs,12-2,False,6821.4,30234.0,694,13246,11963,1283,9.686,703.37
TumorCenter_CD8_block21.svs,1-5,True,19114.9,17515.7,035,0,0,0,,
TumorCenter_CD8_block21.svs,1-6,False,22363.2,17315.8,035,14712,14065,647,4.398,408.99
TumorCenter_CD8_block21.svs,3-3,False,13792.7,22263.2,355,12083,12017,66,0.5462,42.35
TumorCenter_CD8_block21.svs,3-4,True,16441.3,22313.2,355,0,0,0,,
TumorCenter_CD8_block21.svs,7-1,False,5946.9,32133.0,262,14401,12666,1735,12.05,890.89
TumorCenter_CD8_block21.svs,7-2,False,8520.5,32133.0,262,16895,16148,747,4.421,378.06
TumorCenter_CD8_block21.svs,9-3,False,13018.1,37380.2,406,18897,17689,1208,6.393,548.22
TumorCenter_CD8_block21.svs,9-4,False,15516.8,37430.2,406,16994,15111,1883,11.08,878.43
TumorCenter_CD8_block21.svs,9-5,False,18015.5,37530.1,475,25422,15838,9584,37.7,3480.1
TumorCenter_CD8_block21.svs,9-6,False,20539.1,37630.1,475,23174,14105,9069,39.13,3393.9
TumorCenter_CD8_block21.svs,10-1,False,5647.0,39554.1,615,21154,19257,1897,8.968,882.73
TumorCenter_CD8_block21.svs,10-2,False,8245.6,39479.1,615,15101,14548,553,3.662,350.16
TumorCenter_CD8_block22.svs,1-3,False,14417.4,12543.4,552,19591,19142,449,2.292,201.96
TumorCenter_CD8_block22.svs,1-4,False,16841.1,12593.3,552,22235,20724,1511,6.796,653.05
TumorCenter_CD8_block22.svs,5-5,False,18765.1,22238.2,341,15075,15041,34,0.2255,18.18
TumorCenter_CD8_block22.svs,5-6,False,21313.7,22038.3,341,18286,18269,17,0.093,7.868
TumorCenter_CD8_block22.svs,6-5,False,18915.0,24986.8,725,29454,29333,121,0.4108,41.69
TumorCenter_CD8_block22.svs,6-6,False,21513.6,25061.7,725,30038,30013,25,0.0832,8.65
TumorCenter_CD8_block22.svs,9-3,False,13276.8,32740.7,186,13976,13367,609,4.357,300.89
TumorCenter_CD8_block22.svs,9-4,True,16003.9,32729.9,186,0,0,0,,
TumorCenter_CD8_block2.svs,6-1,False,5747.0,14792.2,279,24899,24404,495,1.988,203.69
TumorCenter_CD8_block2.svs,6-2,False,8370.6,14717.2,279,24356,23723,633,2.599,263.33
TumorCenter_CD8_block2.svs,7-3,False,13043.1,17140.9,115,15535,15149,386,2.485,191.07
TumorCenter_CD8_block2.svs,7-4,False,15641.7,17115.9,115,19499,16872,2627,13.47,1299.0
TumorCenter_CD8_block2.svs,10-1,False,6146.7,24961.8,230,8317,8255,62,0.7455,63.81
TumorCenter_CD8_block2.svs,10-2,True,8645.4,24736.9,230,0,0,0,,
TumorCenter_CD8_block2.svs,10-3,False,13118.1,24761.9,712,12220,8940,3280,26.84,2282.1
TumorCenter_CD8_block2.svs,10-4,True,15791.6,24587.0,712,0,0,0,,
TumorCenter_CD8_block2.svs,11-5,False,18265.3,27110.6,352,20626,19536,1090,5.285,467.48
TumorCenter_CD8_block2.svs,11-6,False,20789.0,27010.7,352,20005,19400,605,3.024,261.07
